,nuc,arexp,nd,ns,age,la,ld,target
0,1.32,2.0,7.0,1.0,1.36,93.0,93.0,True
1,3.0,19.0,1.0,1.0,0.0,16.0,12.0,True
2,3.0,31.0,1.0,1.0,4.0,2.0,0.0,True
3,4.33,32.0,2.0,1.0,0.0,6.0,6.0,True
4,5.0,39.0,1.0,1.0,0.0,24.0,67.0,True
5,1.0,68.0,1.0,1.0,0.0,2.0,1.0,True
6,5.0,48.0,1.0,1.0,2.0,5.0,0.0,True
7,7.0,6.0,1.0,1.0,0.0,20.0,0.0,True
8,0.92,98.0,7.0,1.0,0.08,58.0,19.0,True
9,6.0,59.0,3.0,1.0,3.71,511.0,440.0,True
10,9.0,132.0,2.0,1.0,1.5,18.0,9.0,True
11,6.0,36.0,1.0,1.0,0.0,0.0,3.0,False
12,5.0,85.0,1.0,1.0,0.0,1.0,1.0,True
13,7.81,87.0,5.0,1.0,12.86,120.0,70.0,True
14,12.0,83.0,1.0,1.0,0.0,1.0,7.0,True
15,9.33,74.0,3.0,1.0,0.67,3.0,2.0,True
16,6.0,86.0,1.0,1.0,1.0,0.0,1.0,False
17,5.0,100.0,1.0,1.0,0.0,8.0,8.0,True
18,18.0,108.0,1.0,1.0,5.0,1.0,1.0,True
19,7.5,116.0,2.0,1.0,5.0,0.0,5.0,False
20,11.67,122.0,3.0,1.0,3.0,21.0,170.0,True
21,13.0,128.0,2.0,1.0,2.5,0.0,81.0,True
22,9.0,143.0,1.0,1.0,0.0,5.0,1.0,True
23,1.0,210.0,1.0,1.0,0.0,7.0,3.0,True
24,1.0,149.0,3.0,1.0,32.0,10.0,7.0,True
25,1.38,143.0,7.0,1.0,0.0,39.0,58.0,True
26,41.0,251.0,1.0,1.0,0.0,163.0,24.0,True
27,1.48,37.0,6.0,1.0,0.1,31.0,23.0,True
28,6.0,130.0,3.0,1.0,0.8,38.0,2.0,True
29,3.0,147.0,2.0,1.0,0.0,14.0,231.0,True
30,4.5,136.0,3.0,1.0,1.83,161.0,45.0,True
31,9.0,137.0,2.0,1.0,0.25,45.0,12.0,True
32,1.0,152.0,1.0,1.0,0.0,21.0,17.0,True
33,7.0,50.0,1.0,1.0,0.0,0.0,5.0,False
34,4.5,161.0,3.0,1.0,11.83,75.0,47.0,True
35,4.0,0.0,1.0,1.0,7.0,2.0,6.0,False
36,0.0,1.0,1.0,1.0,0.0,0.0,7.0,False
37,16.5,152.0,2.0,1.0,0.0,149.0,9.0,True
38,2.0,328.0,2.0,1.0,6.0,2.0,1.0,True
39,3.5,221.0,2.0,1.0,0.0,13.0,6.0,True
40,2.6,180.0,3.0,1.0,22.2,264.0,209.0,True
41,0.67,240.0,1.0,1.0,0.0,28.0,6.0,True
42,2.83,217.0,4.0,1.0,0.0,181.0,17.0,True
43,1.75,387.0,3.0,1.0,17.5,8.0,1.0,True
44,2.5,394.0,2.0,1.0,2.5,9.0,9.0,True
45,8.29,403.0,5.0,1.0,11.71,0.0,294.0,False
46,13.0,290.0,2.0,1.0,14.5,8.0,11.0,True
47,6.0,306.0,2.0,1.0,5.33,44.0,17.0,True
48,3.67,64.0,2.0,1.0,2.33,33.0,20.0,True
49,23.0,1.0,1.0,1.0,6.0,1.0,1.0,False
50,2.33,93.0,5.0,1.0,3.78,84.0,52.0,True
51,3.0,422.0,3.0,1.0,7.2,1520.0,19.0,True
52,0.5,218.0,1.0,1.0,0.0,88.0,40.0,True
53,15.83,325.0,3.0,1.0,27.83,183.0,23.0,True
54,9.67,439.0,2.0,1.0,0.0,10.0,29.0,True
55,16.25,457.0,2.0,1.0,0.0,10.0,21.0,True
56,9.0,220.0,1.0,1.0,0.0,26.0,88.0,True
57,8.16,223.0,4.0,1.0,0.0,58.0,64.0,True
58,0.8,51.0,3.0,1.0,71.2,9.0,9.0,True
59,5.5,154.0,1.0,1.0,1.75,32.0,17.0,True
60,14.2,157.0,4.0,1.0,4.0,69.0,4.0,True
61,3.92,350.0,7.0,1.0,3.71,170.0,68.0,True
62,7.33,483.0,8.0,1.0,16.83,396.0,199.0,True
63,2.8,391.0,1.0,1.0,0.0,627.0,30.0,True
64,6.0,392.0,1.0,1.0,0.0,82.0,1.0,True
65,4.67,312.0,4.0,1.0,2.0,878.0,1.0,True
66,8.64,405.0,4.0,1.0,4.18,195.0,162.0,True
67,12.5,328.0,2.0,1.0,6.5,10.0,0.0,True
68,7.5,427.0,1.0,1.0,0.0,438.0,215.0,True
69,8.21,244.0,5.0,1.0,13.14,604.0,217.0,True
70,10.0,250.0,1.0,1.0,7.0,0.0,8.0,False
71,11.0,233.0,1.0,1.0,1.0,15.0,4.0,True
72,5.75,241.0,3.0,1.0,23.0,0.0,149.0,False
73,3.67,356.0,3.0,1.0,7.67,10.0,47.0,True
74,11.5,502.0,3.0,1.0,0.0,39.0,34.0,True
75,26.0,369.0,2.0,1.0,1.0,9.0,25.0,True
76,5.0,219.0,1.0,1.0,13.0,0.0,42.0,False
77,15.0,381.0,1.0,1.0,21.0,0.0,13.0,False
78,4.0,250.0,1.0,1.0,41.0,1.0,1.0,True
79,3.33,428.0,2.0,1.0,20.33,65.0,11.0,True
80,9.0,233.0,1.0,1.0,48.0,1.0,0.0,True
81,19.45,264.0,8.0,1.0,1.6,95.0,87.0,True
82,5.29,574.0,2.0,1.0,7.14,75.0,1.0,True
83,3.0,365.0,1.0,1.0,38.0,20.0,11.0,True
84,8.0,134.0,1.0,1.0,37.0,0.0,1.0,False
85,7.0,150.0,5.0,1.0,4.11,147.0,100.0,True
86,0.0,632.0,1.0,1.0,0.0,248.0,0.0,True
87,4.0,433.0,3.0,1.0,6.33,3.0,3.0,True
88,2.17,654.0,6.0,1.0,55.0,304.0,14.0,True
89,12.04,443.0,12.0,1.0,27.0,614.0,203.0,True
90,6.14,199.0,6.0,1.0,6.32,246.0,471.0,True
91,13.0,208.0,2.0,1.0,28.67,16.0,8.0,True
92,10.0,615.0,1.0,1.0,0.0,123.0,3.0,True
93,0.0,485.0,1.0,1.0,0.0,166.0,0.0,True
94,7.0,517.0,4.0,1.0,34.2,0.0,308.0,False
95,10.5,473.0,2.0,1.0,18.5,0.0,2.0,False
96,0.8,328.0,1.0,1.0,22.2,2.0,2.0,True
97,5.0,0.0,1.0,1.0,43.0,2.0,1.0,False
98,9.86,652.0,8.0,1.0,79.05,985.0,273.0,True
99,33.67,497.0,3.0,1.0,15.33,6.0,3.0,True
100,15.33,106.0,7.0,1.0,36.67,33.0,0.0,True
101,4.5,348.0,1.0,1.0,3.0,348.0,0.0,True
102,17.0,633.0,1.0,1.0,42.0,40.0,29.0,True
103,0.0,32.0,1.0,1.0,0.0,213.0,6.0,True
104,7.0,374.0,1.0,1.0,17.0,0.0,5.0,False
105,6.0,37.0,1.0,1.0,0.0,11.0,7.0,True
106,11.0,39.0,1.0,1.0,0.0,0.0,7.0,False
107,6.0,53.0,1.0,1.0,35.0,45.0,4.0,True
108,49.0,11.0,2.0,1.0,2.25,161.0,100.0,True
109,7.0,74.0,1.0,1.0,7.0,3.0,44.0,True
110,22.11,553.0,4.0,1.0,6.22,90.0,23.0,True
111,5.18,928.0,6.0,1.0,0.0,62.0,62.0,True
112,17.24,600.0,9.0,1.0,17.88,59.0,253.0,True
113,1.0,91.0,1.0,1.0,18.0,4.0,2.0,True
114,46.0,4.0,1.0,1.0,0.0,110.0,21.0,True
115,1.67,390.0,1.0,1.0,7.67,152.0,11.0,True
116,35.0,1152.0,11.0,1.0,0.48,346.0,131.0,True
117,3.0,11.0,1.0,1.0,5.0,2.0,0.0,True
118,13.0,37.0,1.0,1.0,6.0,0.0,1.0,False
119,15.0,40.0,6.0,1.0,7.0,0.0,9.0,False
120,92.17,28.0,6.0,1.0,0.0,231.0,3.0,True
121,5.95,634.0,6.0,1.0,0.36,298.0,287.0,True
122,1.0,82.0,1.0,1.0,5.0,1.0,1.0,True
123,8.0,709.0,4.0,1.0,0.6,73.0,40.0,True
124,7.0,25.0,1.0,1.0,0.0,6.0,5.0,True
125,14.75,146.0,4.0,1.0,0.0,4.0,4.0,True
126,7.0,180.0,1.0,1.0,0.0,4.0,15.0,True
127,13.25,465.0,6.0,1.0,0.0,95.0,91.0,True
128,23.23,213.0,8.0,1.0,2.92,135.0,84.0,True
129,8.0,217.0,2.0,1.0,1.5,97.0,64.0,True
130,8.8,218.0,2.0,1.0,7.2,21.0,42.0,True
131,1.33,146.0,3.0,1.0,4.0,15.0,19.0,True
132,9.5,229.0,2.0,1.0,0.75,22.0,22.0,True
133,13.64,857.0,6.0,1.0,1.43,826.0,723.0,True
134,8.0,147.0,1.0,1.0,0.0,2.0,0.0,True
135,4.5,212.0,2.0,1.0,0.0,46.0,23.0,True
136,4.45,134.0,4.0,1.0,0.0,12.0,1.0,True
137,6.07,152.0,4.0,1.0,0.0,84.0,84.0,True
138,12.0,502.0,2.0,1.0,4.0,33.0,1.0,True
139,1.0,193.0,1.0,1.0,4.0,25.0,1.0,True
140,12.0,299.0,1.0,1.0,14.0,2.0,1.0,True
141,5.0,334.0,1.0,1.0,12.0,0.0,1.0,False
142,1.43,378.0,5.0,1.0,14.57,3.0,63.0,True
143,9.6,551.0,3.0,1.0,0.6,298.0,73.0,True
144,15.67,287.0,3.0,1.0,1.33,20.0,22.0,True
145,0.0,142.0,1.0,1.0,0.0,2.0,2.0,True
146,1.0,210.0,1.0,1.0,1.0,14.0,1.0,True
147,20.5,301.0,2.0,1.0,3.5,17.0,0.0,True
148,8.33,235.0,3.0,1.0,12.33,3.0,4.0,True
149,12.0,241.0,2.0,1.0,0.0,1.0,4.0,True
150,15.5,342.0,7.0,1.0,0.0,94.0,89.0,True
151,14.58,344.0,7.0,1.0,1.67,15.0,34.0,True
152,17.33,612.0,3.0,1.0,1.67,434.0,15.0,True
153,13.33,517.0,2.0,1.0,2.0,11.0,12.0,True
154,20.0,525.0,2.0,1.0,0.0,50.0,119.0,True
155,1.0,224.0,1.0,1.0,39.0,0.0,2.0,False
156,0.0,683.0,1.0,1.0,0.0,109.0,0.0,True
157,6.0,3.0,1.0,1.0,31.0,4.0,4.0,True
158,55.0,376.0,3.0,1.0,1.75,131.0,125.0,True
159,11.0,11.0,1.0,1.0,50.0,2.0,1.0,True
160,24.0,442.0,1.0,1.0,0.0,91.0,1.0,True
161,14.62,456.0,4.0,1.0,0.5,32.0,41.0,True
162,5.67,497.0,3.0,1.0,0.0,2.0,2.0,True
163,40.83,540.0,3.0,1.0,12.0,123.0,66.0,True
164,12.2,541.0,4.0,1.0,8.0,38.0,71.0,True
165,29.0,553.0,2.0,1.0,48.0,0.0,21.0,False
166,59.62,38.0,7.0,1.0,24.94,795.0,140.0,True
167,18.0,663.5,2.0,1.0,4.25,374.0,44.0,True
168,12.0,22.0,1.0,1.0,16.0,1.0,1.0,True
169,62.0,133.0,2.0,1.0,55.5,9.0,16.0,True
170,27.5,829.5,3.0,1.0,47.38,223.0,38.0,True
171,5.5,285.0,1.0,1.0,43.0,0.0,67.0,False
172,20.0,83.0,1.0,1.0,41.0,0.0,4.0,False
173,5.0,60.0,1.0,1.0,58.0,3.0,1.0,True
174,2.0,65.0,1.0,1.0,60.0,6.0,1.0,True
175,10.0,94.0,1.0,1.0,1.0,11.0,0.0,True
176,6.0,69.0,1.0,1.0,0.0,0.0,4.0,False
177,0.33,24.0,2.0,1.0,0.0,237.0,1.0,True
178,63.39,22.0,7.0,1.0,4.39,1094.0,7.0,True
179,7.0,99.0,1.0,1.0,22.0,6.0,0.0,True
180,21.5,835.0,1.0,1.0,0.0,207.0,5.0,True
181,45.71,591.0,6.0,1.0,30.65,284.0,171.0,True
182,19.27,37.0,2.0,1.0,43.82,220.0,50.0,True
183,2.0,608.0,2.0,1.0,4.0,51.0,23.0,True
184,23.83,297.0,2.0,1.0,6.5,456.0,12.0,True
185,1.11,536.67,2.0,1.0,0.89,81.0,75.0,True
186,49.0,206.5,1.0,1.0,7.0,136.0,16.0,True
187,8.67,569.0,2.0,1.0,5.67,130.0,183.0,True
188,6.0,16.0,1.0,1.0,0.0,31.0,26.0,True
189,8.5,594.17,1.0,1.0,1.0,88.0,9.0,True
190,11.5,596.17,2.0,1.0,1.0,208.0,89.0,True
191,44.5,23.0,1.0,1.0,15.5,54.0,1.0,True
192,73.0,28.0,3.0,1.0,10.33,57.0,11.0,True
193,1.0,100.5,1.0,1.0,38.0,6.0,6.0,True
194,48.4,47.0,3.0,1.0,1.6,24.0,17.0,True
195,0.0,75.0,1.0,1.0,0.0,131.0,30.0,True
196,34.0,20.0,1.0,1.0,10.0,7.0,4.0,True
197,15.0,11.0,1.0,1.0,1.0,0.0,2.0,False
198,7.0,212.0,1.0,1.0,20.0,0.0,2.0,False
199,28.0,51.0,1.0,1.0,0.0,16.0,36.0,True
200,4.5,0.0,4.0,1.0,112.38,393.0,28.0,True
201,13.0,134.0,1.0,1.0,3.0,0.0,3.0,False
202,17.75,0.0,3.0,1.0,7.25,255.0,1.0,True
203,7.17,5.0,5.0,1.0,7.5,78.0,6.0,True
204,63.0,783.0,2.0,1.0,15.5,177.0,62.0,True
205,20.33,145.0,2.0,1.0,12.67,172.0,0.0,True
206,33.1,806.5,4.0,1.0,60.8,175.0,15.0,True
207,42.5,43.0,1.0,1.0,0.0,47.0,36.0,True
208,66.0,167.0,3.0,1.0,0.0,69.0,32.0,True
209,74.5,94.0,2.0,1.0,1.0,304.0,171.0,True
210,5.33,647.33,2.0,1.0,35.33,190.0,48.0,True
211,5.0,48.0,1.0,1.0,4.0,7.0,12.0,True
212,29.71,4.0,4.0,1.0,67.14,182.0,9.0,True
213,12.2,26.0,3.0,1.0,12.6,24.0,17.0,True
214,0.5,50.0,2.0,1.0,4.5,42.0,5.0,True
215,16.0,250.0,1.0,1.0,5.0,0.0,1.0,False
216,40.62,1.0,10.0,1.0,36.62,536.0,394.0,True
217,11.33,897.0,4.0,1.0,42.0,556.0,0.0,True
218,29.27,5.0,8.0,1.0,15.09,66.0,273.0,True
219,12.0,62.0,2.0,1.0,45.67,21.0,16.0,True
220,39.0,236.0,3.0,1.0,5.0,128.0,0.0,True
221,8.0,72.0,1.0,1.0,7.0,11.0,8.0,True
222,33.33,103.0,2.0,1.0,70.67,9.0,15.0,True
223,71.0,225.5,3.0,1.0,80.0,79.0,11.0,True
224,8.0,4.0,1.0,1.0,0.0,0.0,7.0,False
225,43.93,537.5,6.0,1.0,37.5,826.0,42.0,True
226,6.0,24.0,1.0,1.0,0.0,0.0,2.0,False
227,13.6,889.5,3.0,1.0,42.0,135.0,43.0,True
228,6.0,184.0,1.0,1.0,1.0,0.0,3.0,False
229,2.0,182.0,1.0,1.0,41.0,0.0,209.0,True
230,18.0,184.0,1.0,1.0,8.0,0.0,2.0,False
231,18.0,184.0,1.0,1.0,8.0,0.0,2.0,False
232,0.0,3.0,1.0,1.0,0.0,6.0,4.0,True
233,43.4,17.0,4.0,1.0,41.8,4.0,249.0,True
234,17.0,314.0,1.0,1.0,24.0,0.0,3.0,False
235,14.0,205.0,1.0,1.0,27.0,0.0,122.0,False
236,12.0,16.0,1.0,1.0,1.0,1.0,1.0,True
237,55.75,97.0,2.0,1.0,32.25,0.0,166.0,False
238,17.25,140.0,2.0,1.0,5.25,0.0,25.0,False
239,10.2,144.0,6.0,1.0,6.6,0.0,310.0,False
240,8.54,135.31,1.0,1.0,4.69,7.63,28.58,True
241,8.07,116.51,1.0,1.0,5.4,6.21,33.3,True
242,10.06,195.83,1.0,1.0,2.4,12.19,13.35,True
243,8.94,151.09,1.0,1.0,4.09,8.82,24.61,True
