,nuc,arexp,nd,ns,age,la,ld,target
0,1.32,2.0,7.0,1.0,1.36,93.0,93.0,True
1,6.0,3.0,1.0,1.0,0.0,37.0,28.0,True
2,3.33,16.0,3.0,1.0,0.33,5.0,9.0,True
3,1.0,47.0,1.0,1.0,1.0,25.0,22.0,True
4,2.38,21.0,22.0,1.0,3.94,36.0,9.0,True
5,2.0,27.0,2.0,1.0,6.0,2.0,2.0,True
6,5.0,39.0,1.0,1.0,0.0,24.0,67.0,True
7,3.17,63.0,5.0,1.0,0.0,8.0,154.0,True
8,0.92,98.0,7.0,1.0,0.08,58.0,19.0,True
9,15.0,26.0,3.0,1.0,0.0,7.0,8.0,True
10,14.67,134.0,2.0,1.0,0.0,12.0,6.0,True
11,8.71,90.0,12.0,1.0,1.41,113.0,167.0,True
12,26.0,120.0,1.0,1.0,0.0,1.0,1.0,True
13,1.0,100.0,1.0,1.0,22.0,0.0,8.0,True
14,29.0,131.0,1.0,1.0,0.0,2.0,2.0,True
15,0.0,130.0,4.0,1.0,0.0,238.0,0.0,True
16,1.25,23.0,6.0,1.0,0.44,96.0,73.0,True
17,0.0,161.0,1.0,1.0,0.0,21.0,17.0,True
18,40.0,250.0,1.0,1.0,0.0,5.0,0.0,True
19,0.0,163.0,4.0,1.0,0.0,377.0,0.0,True
20,5.0,111.0,4.0,1.0,0.6,140.0,12.0,True
21,10.0,181.0,1.0,1.0,0.0,1.0,3.0,True
22,4.0,0.0,1.0,1.0,7.0,2.0,6.0,False
23,2.4,229.0,5.0,1.0,2.4,7.0,30.0,True
24,13.0,228.0,1.0,1.0,0.0,3.0,1.0,True
25,2.83,217.0,4.0,1.0,0.0,181.0,17.0,True
26,6.0,369.0,3.0,1.0,1.0,4.0,3.0,True
27,9.5,256.0,1.0,1.0,0.0,1.0,16.0,True
28,12.57,297.0,2.0,1.0,0.0,35.0,42.0,True
29,3.0,30.0,1.0,1.0,2.0,1.0,1.0,True
30,3.0,294.0,1.0,1.0,4.0,2.0,5.0,True
31,28.0,299.0,1.0,1.0,5.0,9.0,8.0,True
32,23.0,1.0,1.0,1.0,6.0,1.0,1.0,True
33,2.0,394.0,1.0,1.0,0.0,1.0,1.0,True
34,1.0,183.0,1.0,1.0,6.0,18.0,24.0,True
35,6.33,463.0,1.0,1.0,4.33,115.0,9.0,True
36,5.75,142.0,5.0,1.0,0.12,186.0,36.0,True
37,23.0,276.0,6.0,1.0,4.44,111.0,17.0,True
38,42.5,328.0,1.0,1.0,8.0,43.0,13.0,True
39,4.67,312.0,4.0,1.0,2.0,878.0,1.0,True
40,14.0,400.0,1.0,1.0,0.0,23.0,32.0,True
41,1.0,237.0,1.0,1.0,0.0,107.0,2.0,True
42,2.67,239.0,1.0,1.0,0.67,139.0,114.0,True
43,1.0,572.0,1.0,1.0,0.0,2.0,6.0,True
44,8.32,462.0,7.0,1.0,29.45,121.0,61.0,True
45,15.0,495.0,3.0,1.0,5.67,39.0,41.0,True
46,4.0,211.0,1.0,1.0,0.0,2.0,7.0,True
47,1.0,566.0,1.0,1.0,7.0,24.0,2.0,True
48,7.5,141.0,1.0,1.0,28.0,4.0,0.0,True
49,12.5,618.0,2.0,1.0,3.0,16.0,32.0,True
50,20.14,163.0,2.0,1.0,2.57,50.0,63.0,True
51,0.5,424.0,2.0,1.0,4.0,3.0,3.0,True
52,17.25,263.0,4.0,1.0,0.62,42.0,47.0,True
53,0.0,409.0,1.0,1.0,0.0,21.0,0.0,True
54,0.0,410.0,1.0,1.0,0.0,6.0,1.0,True
55,6.25,444.0,4.0,1.0,7.0,23.0,3.0,True
56,8.0,613.0,1.0,1.0,0.0,0.0,20.0,True
57,19.5,230.0,1.0,1.0,0.0,1.0,6.0,True
58,22.0,259.0,1.0,1.0,9.0,5.0,2.0,True
59,5.0,16.0,1.0,1.0,0.0,1.0,1.0,True
60,6.8,649.0,2.0,1.0,11.4,109.0,68.0,True
61,6.0,571.0,1.0,1.0,5.0,2.0,1.0,True
62,8.5,14.0,2.0,1.0,24.0,15.0,0.0,True
63,107.0,0.0,1.0,1.0,7.0,2.0,0.0,False
64,3.0,102.0,1.0,1.0,0.0,18.0,1.0,True
65,4.0,548.0,1.0,1.0,51.0,82.0,3.0,True
66,1.0,342.0,1.0,1.0,0.0,64.0,63.0,True
67,5.33,632.0,1.0,1.0,4.0,72.0,26.0,True
68,31.0,847.0,2.0,1.0,0.75,6.0,247.0,True
69,0.0,649.0,2.0,1.0,0.0,1.0,2.0,True
70,22.94,847.0,10.0,1.0,0.0,28.0,16.0,True
71,42.71,883.0,6.0,1.0,0.0,10.0,10.0,True
72,15.33,953.0,17.0,1.0,0.0,448.0,448.0,True
73,81.5,604.0,1.0,1.0,0.5,24.0,4.0,True
74,19.56,693.0,5.0,1.0,10.33,78.0,12.0,True
75,27.38,14.0,5.0,1.0,11.38,165.0,117.0,True
76,40.5,1.0,1.0,1.0,0.0,48.0,5.0,True
77,35.0,1152.0,11.0,1.0,0.48,346.0,131.0,True
78,37.0,114.0,1.0,1.0,0.0,9.0,5.0,True
79,59.5,718.0,2.0,1.0,3.75,9.0,12.0,True
