,nuc,arexp,nd,ns,age,la,ld,target
0,0.0,23.0,1.0,1.0,0.0,3.0,3.0,True
1,1.0,5.0,1.0,1.0,5.0,51.0,15.0,True
2,6.0,14.0,1.0,1.0,0.0,23.0,0.0,True
3,1.0,48.0,1.0,1.0,0.0,11.0,7.0,True
4,15.0,26.0,3.0,1.0,0.0,7.0,8.0,True
5,8.18,77.0,3.0,1.0,4.73,109.0,23.0,True
6,19.0,98.0,1.0,1.0,1.0,3.0,3.0,True
7,14.67,134.0,2.0,1.0,0.0,12.0,6.0,True
8,11.31,94.0,7.0,1.0,0.62,20.0,48.0,True
9,21.0,82.0,1.0,1.0,0.0,6.0,6.0,True
10,23.0,114.0,1.0,1.0,0.0,6.0,6.0,True
11,7.5,116.0,2.0,1.0,5.0,0.0,5.0,True
12,1.0,100.0,1.0,1.0,22.0,0.0,8.0,True
13,0.0,96.0,1.0,1.0,0.0,1.0,0.0,True
14,0.0,207.0,1.0,1.0,0.0,53.0,47.0,True
15,11.0,164.0,1.0,1.0,19.0,2.0,2.0,True
16,12.0,261.0,6.0,1.0,15.75,221.0,156.0,True
17,1.0,167.0,1.0,1.0,39.0,62.0,0.0,True
18,7.0,289.0,1.0,1.0,0.0,1.0,1.0,True
19,4.5,188.0,1.0,1.0,0.0,0.0,7.0,True
20,3.0,143.0,2.0,1.0,0.33,58.0,41.0,True
21,2.0,146.0,2.0,1.0,0.0,2.0,13.0,True
22,1.0,293.0,1.0,1.0,0.0,17.0,5.0,True
23,5.0,149.0,2.0,1.0,0.0,75.0,109.0,True
24,4.0,188.0,2.0,1.0,3.0,2.0,4.0,True
25,3.5,67.0,2.0,1.0,0.0,22.0,13.0,True
26,7.0,50.0,1.0,1.0,0.0,0.0,5.0,True
27,0.0,1.0,1.0,1.0,0.0,0.0,7.0,False
28,2.0,328.0,2.0,1.0,6.0,2.0,1.0,True
29,1.6,14.0,1.0,1.0,0.6,100.0,26.0,True
30,4.0,236.0,1.0,1.0,13.0,1.0,1.0,True
31,1.0,257.0,1.0,1.0,0.0,1.0,2.0,True
32,0.0,138.0,1.0,1.0,0.0,4.0,4.0,True
33,2.33,364.0,3.0,1.0,3.0,12.0,16.0,True
34,1.0,389.0,3.0,1.0,0.8,19.0,8.0,True
35,1.0,83.0,2.0,1.0,0.0,45.0,32.0,True
36,43.0,297.0,1.0,1.0,0.0,1.0,2.0,True
37,11.5,193.0,2.0,1.0,0.0,18.0,1.0,True
38,0.67,33.0,2.0,1.0,1.0,190.0,1.0,True
39,5.0,338.0,2.0,1.0,1.0,45.0,196.0,True
40,15.83,252.0,2.0,1.0,8.67,69.0,18.0,True
41,10.0,115.0,1.0,1.0,0.0,8.0,4.0,True
42,6.0,400.0,2.0,1.0,8.5,8.0,6.0,True
43,20.0,232.0,1.0,1.0,0.0,46.0,23.0,True
44,8.15,237.0,14.0,1.0,12.05,136.0,221.0,True
45,2.0,160.0,1.0,1.0,0.5,63.0,1.0,True
46,9.53,74.0,5.0,1.0,0.0,107.0,79.0,True
47,6.5,254.0,4.0,1.0,1.33,15.0,15.0,True
48,16.5,81.0,3.0,1.0,16.5,45.0,28.0,True
49,6.0,265.0,2.0,1.0,3.33,11.0,8.0,True
50,7.65,141.0,8.0,1.0,0.0,184.0,175.0,True
51,6.5,292.0,1.0,1.0,2.0,12.0,11.0,True
52,12.61,202.0,10.0,1.0,15.42,525.0,626.0,True
53,6.81,341.0,11.0,1.0,14.38,365.0,111.0,True
54,4.33,345.0,3.0,1.0,0.0,36.0,9.0,True
55,15.0,495.0,3.0,1.0,5.67,39.0,41.0,True
56,7.0,357.0,1.0,1.0,0.0,2.0,0.0,True
57,26.0,369.0,2.0,1.0,1.0,9.0,25.0,True
58,10.0,2.0,1.0,1.0,0.0,1.0,1.0,False
59,12.33,144.0,4.0,1.0,1.33,58.0,64.0,True
60,2.0,519.0,1.0,1.0,6.0,0.0,7.0,True
61,18.0,156.0,2.0,1.0,14.5,4.0,4.0,True
62,3.71,530.0,3.0,1.0,2.86,81.0,30.0,True
63,16.52,168.0,9.0,1.0,10.22,375.0,307.0,True
64,4.0,569.0,1.0,1.0,7.0,8.0,0.0,True
65,2.0,582.0,3.0,1.0,9.0,5.0,5.0,True
66,67.0,436.0,1.0,1.0,8.0,35.0,27.0,True
67,20.0,410.0,4.0,1.0,1.0,14.0,8.0,True
68,34.25,156.0,2.0,1.0,40.5,15.0,13.0,True
