,nuc,arexp,nd,ns,age,la,ld,target
0,1.68,0.0,8.0,2.0,2.47,209.0,449.0,1
1,1.17,0.0,5.0,1.0,2.83,33.0,9.0,1
2,1.43,19.0,9.0,2.0,1.7,244.0,187.0,1
3,1.16,3.0,10.0,2.0,3.79,66.0,701.0,1
4,2.33,45.0,3.0,1.0,6.17,0.0,806.0,1
5,4.75,55.0,4.0,1.0,6.38,240.0,149.0,1
6,4.45,58.0,4.0,1.0,2.45,88.0,27.0,1
7,7.0,70.0,4.0,1.0,4.0,77.0,35.0,1
8,3.0,65.0,4.0,1.0,26.38,0.0,354.0,0
9,1.25,148.0,7.0,1.0,20.88,26.0,5.0,1
10,2.29,231.0,6.0,1.0,0.71,481.0,951.0,1
11,2.18,211.0,8.0,1.0,4.09,256.0,45.0,1
12,8.29,403.0,5.0,1.0,11.71,0.0,294.0,0
13,1.0,291.0,1.0,1.0,69.0,2.0,2.0,1
14,2.0,303.0,1.0,1.0,41.0,3.0,12.0,1
15,3.5,225.0,5.0,1.0,2.17,125.0,210.0,1
16,9.44,422.0,8.0,1.0,0.22,27.0,15.0,1
17,8.85,286.0,8.0,2.0,2.31,51.0,85.0,1
18,0.5,322.0,1.0,1.0,41.0,13.0,14.0,1
19,8.33,347.0,6.0,1.0,14.67,26.0,26.0,1
20,15.0,77.0,4.0,1.0,2.0,38.0,29.0,1
21,14.09,327.0,6.0,1.0,10.36,83.0,137.0,1
22,10.9,231.0,4.0,1.0,4.9,283.0,67.0,1
23,6.49,442.0,7.0,1.0,0.77,49.0,42.0,1
24,3.83,251.0,2.0,1.0,41.67,88.0,4.0,1
25,20.5,125.0,4.0,1.0,3.33,179.0,56.0,1
26,5.75,241.0,3.0,1.0,23.0,0.0,149.0,0
27,7.9,500.0,8.0,1.0,14.0,111.0,17.0,1
28,1.5,365.0,1.0,1.0,40.0,181.0,84.0,1
29,1.0,573.0,1.0,1.0,131.0,0.0,14.0,1
30,1.27,253.0,3.0,1.0,25.0,404.0,424.0,1
31,22.17,179.0,5.0,1.0,0.08,36.0,39.0,1
32,4.38,573.0,3.0,1.0,41.0,111.0,26.0,1
33,8.0,134.0,1.0,1.0,37.0,0.0,1.0,0
34,12.33,590.0,1.0,1.0,36.33,11.0,2.0,1
35,8.13,196.0,7.0,1.0,49.43,331.0,288.0,1
36,13.0,443.0,1.0,1.0,55.0,1.0,1.0,1
37,19.2,297.0,4.0,1.0,50.6,41.0,11.0,1
38,7.0,517.0,4.0,1.0,34.2,0.0,308.0,0
39,5.5,454.0,2.0,1.0,44.0,5.0,3.0,1
40,1.0,621.0,1.0,1.0,193.0,7.0,0.0,1
41,17.73,324.0,3.0,1.0,27.73,131.0,51.0,1
42,8.67,490.0,8.0,1.0,53.17,512.0,3.0,1
43,7.0,539.0,2.0,1.0,15.75,0.0,280.0,0
44,5.0,0.0,1.0,1.0,43.0,2.0,1.0,0
45,13.0,643.0,1.0,1.0,58.0,28.0,38.0,1
46,9.86,652.0,8.0,1.0,79.05,985.0,273.0,1
47,3.0,568.0,1.0,1.0,78.0,1.0,3.0,1
48,3.0,574.0,2.0,2.0,81.33,22.0,9.0,1
49,1.0,605.0,1.0,1.0,225.0,1.0,1.0,1
50,3.4,710.0,6.0,1.0,80.1,138.0,47.0,1
51,4.0,548.0,1.0,1.0,51.0,82.0,3.0,1
52,0.73,343.0,5.0,1.0,0.0,282.0,17.0,1
53,30.0,558.0,7.0,1.0,26.25,10.0,33.0,1
54,12.67,729.0,3.0,1.0,27.0,5.0,2.0,1
55,1.0,33.0,1.0,1.0,111.0,1.0,1.0,1
56,20.85,295.0,8.0,1.0,5.1,252.0,213.0,1
57,14.31,650.0,11.0,1.0,58.08,35.0,409.0,1
58,13.17,853.0,2.0,1.0,58.42,257.0,85.0,1
59,3.0,731.0,1.0,1.0,81.0,15.0,0.0,1
