,nuc,aexp,ns,age,asexp,la,target
0,1.67,55.0,1.0,182.67,5.0,107.0,True
1,0.5,140.0,2.0,160.5,0.99,364.0,True
2,3.0,37.0,1.0,141.0,30.0,2.0,True
3,8.33,0.0,2.0,142.83,0.0,108.0,True
4,7.5,146.0,2.0,83.5,1.0,64.0,True
5,15.25,53.0,2.0,63.5,0.81,230.0,True
6,17.0,0.0,3.0,215.5,0.0,44.0,True
7,20.83,41.0,2.0,120.33,1.0,78.0,True
8,22.4,0.0,3.0,90.2,0.0,176.0,True
9,24.88,17.0,2.0,58.25,0.5,117.0,True
10,29.71,1.0,2.0,87.88,0.0,384.0,True
11,16.0,1.0,1.0,96.0,0.0,2.0,True
12,3.5,6.0,1.0,108.5,2.0,43.0,True
13,7.71,12.0,1.0,139.14,3.0,124.0,False
14,19.33,0.0,2.0,59.67,0.0,218.0,True
15,4.0,9.0,1.0,249.0,0.0,6.0,True
16,6.0,14.0,1.0,226.0,4.0,10.0,False
17,6.81,11.0,2.0,128.19,0.0,533.0,True
18,5.67,53.0,2.0,129.0,1.0,3.0,True
19,10.73,7.0,3.0,80.04,0.28,287.0,True
20,22.41,3.0,2.0,137.29,0.62,412.0,True
21,3.0,19.0,1.0,96.0,7.0,2.0,True
22,17.77,1.0,4.0,139.63,0.0,194.0,True
23,9.0,20.0,1.0,314.0,18.0,11.0,False
24,15.33,0.0,2.0,64.0,0.0,192.0,True
25,4.0,0.0,1.0,103.0,0.0,3.0,True
26,29.88,10.0,3.0,127.59,0.5,945.0,True
27,35.29,28.0,3.0,78.57,0.38,174.0,True
28,25.29,12.0,2.0,57.17,1.0,463.0,True
29,14.75,0.0,3.0,112.75,0.0,21.0,True
30,17.25,11.0,1.0,146.75,4.0,65.0,False
31,6.75,26.0,2.0,53.75,0.63,51.0,True
32,3.0,22.0,2.0,89.0,1.16,1.0,True
33,10.0,23.0,1.0,179.0,1.0,36.0,True
34,14.5,86.0,1.0,164.75,30.0,66.0,False
35,18.0,4.0,4.0,202.8,0.33,117.0,True
36,26.25,21.0,3.0,178.0,0.49,45.0,True
37,16.96,1.0,3.0,183.92,0.0,34.0,True
38,5.0,61.0,3.0,84.71,0.26,64.0,True
39,18.0,63.0,2.0,56.88,0.63,69.0,True
40,16.0,64.0,3.0,281.67,0.26,19.0,True
41,28.51,33.0,2.0,139.53,0.93,727.0,True
42,4.0,39.0,1.0,76.0,3.0,40.0,False
43,3.33,40.0,2.0,61.33,0.0,56.0,True
44,14.43,69.0,2.0,85.57,0.38,35.0,True
45,13.0,7.0,1.0,82.0,2.0,1.0,True
46,34.15,8.0,2.0,53.77,0.99,208.0,True
47,1.0,39.0,1.0,123.0,33.0,0.0,True
48,1.0,42.0,1.0,128.0,36.0,0.0,True
49,12.86,50.0,2.0,263.29,0.93,266.0,True
50,9.5,0.0,1.0,124.0,0.0,29.0,True
51,1.33,1.0,1.0,103.33,1.0,103.0,True
52,4.23,7.0,2.0,75.77,0.11,204.0,True
53,26.0,92.0,2.0,71.2,0.63,57.0,True
54,32.47,0.0,2.0,64.26,0.0,135.0,True
55,11.2,104.0,1.0,106.4,34.0,101.0,False
56,3.0,3.0,1.0,268.0,1.0,2.0,True
57,30.17,111.0,2.0,73.79,0.63,86.0,True
58,1.0,86.0,2.0,63.0,0.0,13.0,True
59,1.0,0.0,1.0,133.0,0.0,1.0,True
60,10.0,0.0,2.0,86.6,0.0,16.0,True
61,8.5,1.0,1.0,140.0,1.0,49.0,True
62,9.2,19.0,1.0,83.4,3.0,59.0,False
63,4.0,0.0,1.0,136.0,0.0,21.0,True
64,12.36,1.0,3.0,106.27,0.0,289.0,True
65,13.5,3.0,1.0,142.0,1.0,79.0,True
66,1.5,0.0,1.0,192.5,0.0,36.0,True
67,28.0,16.0,1.0,67.0,4.0,11.0,False
68,12.53,23.0,1.0,73.2,14.0,228.0,False
69,15.33,0.0,1.0,82.33,0.0,61.0,True
70,3.0,96.0,1.0,139.5,19.0,76.0,True
71,19.67,4.0,1.0,135.0,1.0,2.0,True
72,3.0,0.0,1.0,104.0,0.0,1.0,True
73,5.0,60.0,1.0,129.0,3.0,20.0,False
74,2.0,2.0,1.0,66.0,1.0,19.0,True
75,1.75,4.0,1.0,88.0,3.0,26.0,True
76,14.0,6.0,1.0,64.07,6.0,105.0,False
77,5.0,4.0,1.0,118.0,1.0,1.0,True
78,4.0,5.0,1.0,98.5,0.0,42.0,True
79,6.0,34.0,1.0,92.0,22.0,3.0,False
80,22.17,2.0,2.0,97.67,0.0,255.0,True
81,9.95,20.0,1.0,96.1,17.0,214.0,False
82,7.5,1.0,1.0,107.0,0.0,2.0,True
83,1.0,4.0,1.0,232.0,0.0,2.0,True
84,5.0,0.0,1.0,196.0,0.0,21.0,True
85,20.0,0.0,1.0,142.0,0.0,77.0,True
86,6.0,2.0,1.0,133.67,0.0,5.0,True
87,26.5,29.0,2.0,108.0,0.5,78.0,True
88,55.67,0.0,2.0,215.67,0.0,3.0,True
89,27.67,63.0,2.0,75.89,1.0,321.0,True
90,3.17,6.0,1.0,170.67,1.0,58.0,True
91,9.0,7.0,1.0,89.25,2.0,539.0,True
92,6.83,9.0,1.0,123.83,6.0,301.0,False
93,3.67,65.0,2.0,131.13,1.0,551.0,True
94,2.0,0.0,1.0,234.0,0.0,29.0,True
95,9.0,0.0,1.0,71.0,0.0,3.0,True
96,1.0,107.0,1.0,257.0,25.0,60.0,True
97,3.0,0.0,1.0,108.5,0.0,44.0,True
98,7.18,0.0,1.0,156.59,0.0,227.0,True
99,10.59,4.0,1.0,73.71,1.0,465.0,True
100,2.33,0.0,1.0,125.67,0.0,114.0,True
101,6.0,0.0,1.0,146.0,0.0,72.0,True
102,14.0,4.0,1.0,70.0,1.0,10.0,True
103,13.0,0.0,3.0,210.0,0.0,26.0,True
104,1.8,2.0,1.0,91.0,1.0,0.0,True
105,5.0,12.0,1.0,155.0,12.0,45.0,False
106,2.0,0.0,1.0,146.25,0.0,129.0,True
