,nuc,aexp,ns,age,asexp,la,target
0,13.87,130.0,2.0,71.6,0.93,85.0,True
1,16.44,36.0,3.0,30.31,1.17,136.0,True
2,3.0,37.0,1.0,141.0,30.0,2.0,True
3,8.33,0.0,2.0,142.83,0.0,108.0,True
4,1.0,32.0,1.0,5.0,10.0,36.0,True
5,3.42,43.0,2.0,25.17,0.04,643.0,True
6,6.11,55.0,1.0,55.56,22.0,167.0,True
7,1.09,209.0,1.0,0.36,11.0,1720.0,True
8,5.87,321.0,2.0,74.3,0.93,2610.0,True
9,7.97,335.0,2.0,130.72,0.93,499.0,True
10,5.67,53.0,2.0,129.0,1.0,3.0,True
11,29.57,12.0,2.0,48.57,1.0,358.0,True
12,22.41,3.0,2.0,137.29,0.62,412.0,True
13,12.0,18.0,1.0,28.0,5.0,4.0,True
14,13.33,3.0,2.0,33.43,0.75,1512.0,True
15,11.0,21.0,1.0,6.0,19.0,11.0,True
16,14.36,72.0,2.0,38.55,1.0,156.0,True
17,10.0,2.0,2.0,14.67,0.75,21.0,True
18,28.5,4.0,1.0,34.5,2.0,12.0,True
19,21.0,5.0,1.0,21.0,3.0,1.0,False
20,12.0,14.0,1.0,61.0,10.0,6.0,True
21,9.2,9.0,2.0,5.9,1.16,386.0,True
22,7.0,2.0,1.0,21.0,1.0,2.0,True
23,24.0,4.0,1.0,6.0,3.0,1.0,False
24,30.0,14.0,1.0,4.0,11.0,3.0,True
25,14.75,0.0,3.0,112.75,0.0,21.0,True
26,17.25,11.0,1.0,146.75,4.0,65.0,True
27,23.67,18.0,2.0,0.67,1.16,7.0,True
28,13.45,13.0,2.0,43.65,1.0,450.0,True
29,49.0,4.0,1.0,2.0,2.0,5.0,True
30,1.0,6.0,1.0,13.0,0.0,22.0,True
31,5.4,26.0,2.0,3.4,0.93,73.0,True
32,18.77,37.0,3.0,5.55,0.26,531.0,True
33,4.5,52.0,1.0,5.0,20.0,187.0,True
34,25.0,93.0,1.0,0.4,33.0,27.0,True
