,nuc,aexp,ns,age,asexp,la,target
0,8.33,0.0,2.0,142.83,0.0,108.0,True
1,15.25,53.0,2.0,63.5,0.81,230.0,True
2,20.83,41.0,2.0,120.33,1.0,78.0,True
3,29.71,1.0,2.0,87.88,0.0,384.0,True
4,7.71,12.0,1.0,139.14,3.0,124.0,True
5,6.81,11.0,2.0,128.19,0.0,533.0,True
6,5.67,53.0,2.0,129.0,1.0,3.0,True
7,22.41,3.0,2.0,137.29,0.62,412.0,True
8,15.33,0.0,2.0,64.0,0.0,192.0,True
9,3.0,22.0,2.0,89.0,1.16,1.0,True
10,28.51,33.0,2.0,139.53,0.93,727.0,True
11,14.43,69.0,2.0,85.57,0.38,35.0,True
12,4.23,7.0,2.0,75.77,0.11,204.0,True
13,26.0,92.0,2.0,71.2,0.63,57.0,True
14,10.0,0.0,2.0,86.6,0.0,16.0,True
15,22.17,2.0,2.0,97.67,0.0,255.0,True
16,26.5,29.0,2.0,108.0,0.5,78.0,True
17,27.67,63.0,2.0,75.89,1.0,321.0,True
18,6.83,9.0,1.0,123.83,6.0,301.0,True
19,3.67,65.0,2.0,131.13,1.0,551.0,True
20,8.25,7.0,2.0,125.5,0.77,119.0,True
21,25.55,5.0,2.0,69.36,0.97,32.0,True
22,10.0,6.0,1.0,138.0,0.0,241.0,True
23,12.33,0.0,1.0,122.67,0.0,101.0,True
24,26.0,47.0,2.0,76.75,0.56,34.0,True
25,9.43,35.0,2.0,130.43,1.0,24.0,True
26,12.67,52.0,3.0,129.67,0.13,109.0,True
27,19.09,7.0,2.0,76.64,0.01,134.0,True
28,13.6,1.0,2.0,153.7,0.0,18.0,True
29,8.67,12.0,2.0,102.0,1.06,22.0,True
30,34.67,2.0,2.0,101.67,0.75,32.0,True
31,3.0,0.0,2.0,135.33,0.0,3.0,True
32,9.0,5.0,2.0,65.0,0.0,83.0,True
33,2.17,18.0,2.0,94.0,0.12,41.0,True
34,19.25,21.0,2.0,77.88,0.88,626.0,True
35,19.0,26.0,2.0,66.75,0.26,338.0,True
36,17.0,12.0,2.0,61.17,0.92,154.0,True
37,8.78,21.0,2.0,64.33,0.0,146.0,True
38,27.82,1.0,2.0,84.09,0.0,78.0,True
39,18.86,4.0,2.0,106.43,0.75,43.0,True
40,8.9,6.63,1.63,130.17,0.48,164.53,True
41,9.01,6.56,1.56,130.94,0.44,172.07,True
42,9.98,6.01,1.01,137.83,0.01,239.35,True
43,9.53,6.27,1.27,134.63,0.21,208.1,True
44,8.47,6.87,1.87,127.1,0.67,134.66,True
45,9.48,6.3,1.3,134.28,0.23,204.66,True
46,9.68,6.19,1.19,135.69,0.14,218.42,True
47,9.05,6.54,1.54,131.21,0.42,174.78,True
48,9.74,6.15,1.15,136.13,0.12,222.73,True
49,9.4,6.34,1.34,133.75,0.26,199.48,True
50,8.38,6.93,1.93,126.43,0.72,128.06,True
51,9.74,6.15,1.15,136.12,0.12,222.64,True
52,9.89,6.06,1.06,137.24,0.05,233.59,True
53,9.77,6.13,1.13,136.39,0.1,225.25,True
54,9.55,6.26,1.26,134.79,0.2,209.68,True
55,9.46,6.31,1.31,134.14,0.24,203.29,True
56,8.89,6.63,1.63,130.09,0.49,163.81,True
57,8.63,6.78,1.78,128.23,0.6,145.6,True
58,9.09,6.52,1.52,131.51,0.4,177.67,True
59,9.82,6.1,1.1,136.71,0.08,228.39,True
60,9.18,6.47,1.47,132.17,0.36,184.06,True
61,8.36,6.94,1.94,126.29,0.72,126.71,True
62,8.3,6.97,1.97,125.89,0.75,122.82,True
63,8.55,6.83,1.83,127.65,0.64,140.02,True
64,9.45,6.31,1.31,134.07,0.24,202.61,True
65,9.16,6.48,1.48,131.98,0.37,182.2,True
66,8.84,6.66,1.66,129.69,0.51,159.9,True
67,8.65,6.77,1.77,128.33,0.6,146.58,True
68,8.28,6.98,1.98,125.71,0.76,121.07,True
69,9.36,6.37,1.37,133.42,0.28,196.35,True
70,8.5,6.86,1.86,127.28,0.66,136.33,True
71,9.95,6.03,1.03,137.61,0.02,237.23,True
72,8.37,6.93,1.93,126.34,0.72,127.22,True
73,8.87,6.65,1.65,129.91,0.5,162.03,True
74,9.11,6.51,1.51,131.65,0.39,178.99,True
75,8.93,6.61,1.61,130.33,0.47,166.16,True
76,8.5,6.86,1.86,127.29,0.66,136.46,True
77,9.77,6.13,1.13,136.33,0.1,224.74,True
78,9.33,6.39,1.39,133.18,0.3,193.97,True
79,9.62,6.21,1.21,135.32,0.17,214.83,True
