,nuc,aexp,ns,age,asexp,la,target
0,12.04,4.0,3.0,34.16,0.4,477.0,False
1,0.0,27.0,1.0,0.0,5.0,117.0,False
2,4.0,31.0,1.0,0.0,9.0,21.0,False
3,3.42,43.0,2.0,25.17,0.04,643.0,False
4,6.11,55.0,1.0,55.56,22.0,167.0,False
5,22.4,0.0,3.0,90.2,0.0,176.0,False
6,11.5,58.0,2.0,0.0,1.0,21.0,False
7,5.0,59.0,2.0,0.0,1.0,2.0,False
8,22.41,3.0,2.0,137.29,0.62,412.0,False
9,11.0,0.0,1.0,18.0,0.0,3.0,False
10,10.0,44.0,1.0,0.0,40.0,0.0,False
11,20.0,15.0,1.0,4.0,6.0,2.0,False
12,11.21,13.0,3.0,19.17,0.54,379.0,False
13,23.4,21.0,2.0,4.0,1.16,145.0,False
14,36.4,0.0,2.0,13.7,0.0,129.0,False
15,65.67,17.0,2.0,16.67,1.0,27.0,False
16,1.44,38.0,1.0,3.44,14.0,114.0,False
17,1.33,27.0,2.0,12.0,0.0,124.0,False
18,26.36,34.0,3.0,6.82,0.54,190.0,False
19,4.62,55.0,2.0,25.58,0.38,167.0,False
20,12.53,38.0,2.0,20.94,1.16,270.0,False
21,28.67,68.0,1.0,0.67,19.0,8.0,False
22,21.0,94.0,3.0,3.75,0.5,38.0,False
23,28.0,40.0,1.0,6.0,15.0,1.0,False
24,15.8,0.0,2.0,11.0,0.0,163.0,False
25,5.75,27.0,1.0,12.75,21.0,25.0,False
26,65.0,0.0,1.0,2.0,0.0,1.0,False
27,9.0,3.0,2.0,19.4,0.38,17.0,False
28,71.0,0.0,1.0,1.0,0.0,1.0,False
29,0.0,0.0,1.0,0.0,0.0,3.0,True
30,18.0,63.0,2.0,56.88,0.63,69.0,False
31,3.5,21.0,1.0,19.0,7.0,20.0,False
32,74.0,0.0,1.0,26.0,0.0,3.0,False
33,14.43,69.0,2.0,85.57,0.38,35.0,False
34,75.0,0.0,1.0,15.0,0.0,9.0,False
35,24.0,77.0,2.0,36.33,0.63,37.0,False
36,14.5,113.0,1.0,6.0,15.0,13.0,False
37,2.2,64.0,1.0,24.8,4.0,512.0,False
38,22.0,51.0,1.0,0.0,45.0,1.0,False
39,5.09,64.0,2.0,0.91,0.02,182.0,False
40,25.0,122.0,1.0,1.0,24.0,1.0,False
41,5.5,72.0,1.0,3.5,10.0,13.0,False
42,7.0,73.0,1.0,0.0,11.0,8.0,False
43,13.0,85.0,1.0,0.0,14.0,8.0,False
44,18.78,108.0,2.0,21.0,0.63,38.0,False
45,2.0,0.0,1.0,6.0,0.0,5.0,False
46,57.8,114.0,2.0,55.8,0.63,40.0,False
47,11.38,10.0,1.0,1.0,1.0,288.0,False
48,6.0,6.0,2.0,26.0,0.17,120.0,False
49,5.63,4.0,1.0,33.21,3.0,383.0,False
50,20.89,32.0,2.0,0.78,1.0,297.0,False
51,6.0,75.0,1.0,43.0,19.0,6.0,False
52,2.0,14.0,1.0,32.5,5.0,52.0,False
53,10.33,140.0,2.0,7.33,0.0,15.0,False
54,9.2,19.0,1.0,83.4,3.0,59.0,False
55,4.89,20.0,1.0,13.56,11.0,155.0,False
56,7.4,99.0,1.0,7.2,15.0,498.0,False
57,14.67,145.0,2.0,27.33,0.0,8.0,False
58,8.0,42.0,1.0,43.0,20.0,3.0,False
59,17.0,107.0,1.0,6.0,18.0,53.0,False
60,2.0,20.0,1.0,5.0,11.0,1.0,False
61,19.0,5.0,1.0,6.0,3.0,1.0,False
62,4.0,5.0,1.0,2.0,4.0,12.0,False
63,23.0,1.0,1.0,30.0,0.0,3.0,False
64,13.64,24.0,1.0,1.64,15.0,104.0,False
65,38.5,111.0,1.0,0.0,62.0,3.0,False
66,24.0,154.0,1.0,12.0,6.0,6.0,False
67,15.67,98.0,1.0,45.33,20.0,28.0,False
68,0.0,1.0,1.0,0.0,1.0,6.0,True
69,4.0,27.0,1.0,0.0,17.0,6.0,False
70,2.67,28.0,2.0,21.0,0.03,270.0,False
71,14.5,21.0,1.0,22.0,18.0,50.0,False
72,4.6,15.0,1.0,14.6,13.0,538.0,False
73,4.0,24.0,1.0,0.0,21.0,5.0,False
74,37.8,19.0,1.0,19.6,6.0,568.0,False
75,5.0,25.0,1.0,3.0,22.0,7.0,False
76,33.5,121.0,1.0,5.0,70.0,65.0,False
77,42.41,53.0,3.0,11.23,0.5,265.0,False
78,40.18,1.0,3.0,43.0,0.33,474.0,False
79,19.75,40.0,1.0,9.5,37.0,189.0,False
80,6.0,27.0,1.0,0.5,23.0,156.0,False
81,33.5,6.0,1.0,27.5,3.0,19.0,False
82,60.0,36.0,1.0,9.0,10.0,34.0,False
83,21.0,54.0,1.0,84.5,51.0,26.0,False
84,3.0,0.0,1.0,3.0,0.0,6.0,False
85,39.0,38.0,1.0,5.0,34.0,6.0,False
86,19.54,0.0,2.0,55.71,0.0,672.0,False
87,9.73,66.0,2.0,6.0,1.09,87.0,False
88,7.6,46.0,1.0,28.4,42.0,23.0,False
89,35.44,192.0,2.0,3.0,0.63,183.0,False
90,43.0,68.0,1.0,5.0,65.0,2.0,False
91,5.5,47.0,2.0,39.5,0.5,43.0,False
92,8.75,1.0,1.0,3.75,1.0,174.0,False
93,8.0,6.0,1.0,7.0,3.0,4.0,False
94,30.88,194.0,2.0,84.88,0.63,217.0,False
95,42.25,158.0,2.0,23.25,1.16,250.0,False
96,12.0,55.0,1.0,5.55,51.0,396.0,False
97,27.64,163.0,2.0,37.86,1.16,110.0,False
98,7.0,48.0,1.0,5.0,20.0,23.0,False
99,5.8,11.0,3.0,27.2,0.12,6.0,False
100,47.0,12.0,1.0,4.0,6.0,8.0,False
101,28.0,4.0,2.0,34.5,0.56,1.0,False
102,15.0,13.0,1.0,2.0,13.0,92.0,False
103,19.0,50.0,1.0,0.0,2.0,2.0,False
104,6.0,0.0,1.0,0.0,0.0,2.0,False
105,4.0,0.0,1.0,12.0,0.0,46.0,False
106,29.67,14.0,1.0,20.67,14.0,178.0,False
107,56.75,8.0,2.0,6.75,0.73,26.0,False
108,48.2,7.0,2.0,0.0,0.55,61.0,False
109,25.39,9.0,3.0,18.52,0.34,641.0,False
110,62.0,39.0,2.0,13.0,0.62,135.0,False
111,37.21,32.0,2.0,17.95,0.96,278.0,False
112,13.11,108.0,2.0,3.33,0.13,149.0,False
113,25.0,0.0,1.0,11.5,0.0,72.0,False
114,3.2,4.0,1.0,31.6,1.0,283.0,False
115,36.23,189.0,2.0,5.38,1.16,315.0,False
116,38.59,235.0,2.0,39.41,0.63,230.0,False
117,14.0,0.0,1.0,75.0,0.0,14.0,False
118,22.14,91.0,3.0,37.86,0.5,156.0,False
119,89.0,15.0,1.0,2.0,9.0,8.0,False
120,4.0,40.0,1.0,6.0,17.0,0.0,False
121,36.27,202.0,2.0,4.0,1.16,178.0,False
122,45.6,92.0,1.0,22.0,78.0,166.0,False
123,48.77,3.0,3.0,15.31,0.56,498.0,False
124,31.09,203.0,3.0,11.14,0.54,490.0,False
125,31.0,93.0,2.0,24.5,0.5,167.0,False
126,53.0,200.0,1.0,0.0,52.0,1.0,False
127,21.0,18.0,1.0,24.0,17.0,2.0,False
128,83.33,216.0,2.0,9.93,1.16,332.0,False
129,34.0,28.0,2.0,1.0,0.02,242.0,False
130,25.57,99.0,3.0,3.86,0.17,813.0,False
131,115.0,0.0,1.0,3.0,0.0,1.0,False
132,25.5,12.0,1.0,8.0,12.0,74.0,False
133,6.5,4.0,1.0,66.0,2.0,42.0,False
134,2.0,3.0,1.0,35.0,0.0,11.0,False
135,2.0,0.0,1.0,1.0,0.0,73.0,False
136,32.5,21.0,1.0,1.0,20.0,47.0,False
137,12.25,53.0,2.0,45.5,0.2,99.0,False
138,61.67,95.0,1.0,21.33,62.0,84.0,False
139,56.71,7.0,2.0,19.86,0.53,103.0,False
140,17.6,2.0,1.0,42.2,2.0,84.0,False
141,32.29,229.0,2.0,11.43,0.0,16.0,False
142,35.4,150.0,2.0,0.0,1.0,287.0,False
143,134.0,0.0,1.0,0.0,0.0,4.0,False
144,25.97,122.0,3.0,29.59,0.5,1017.0,False
145,14.0,45.0,1.0,6.0,26.0,2.0,False
146,33.0,4.0,2.0,26.72,0.81,1258.0,False
147,17.67,32.0,3.0,54.33,0.5,103.0,False
148,46.75,0.0,2.0,51.0,0.0,17.0,False
149,12.5,16.0,2.0,0.88,0.04,273.0,False
150,39.5,135.0,3.0,40.83,0.17,615.0,False
151,29.92,18.0,4.0,2.85,0.0,454.0,False
152,15.0,1.0,1.0,32.0,0.0,2.0,False
