,nuc,aexp,ns,age,asexp,la,target
0,4.59,54.0,1.0,63.06,43.0,747.0,1
1,12.04,4.0,3.0,34.16,0.4,477.0,1
2,3.0,37.0,1.0,141.0,30.0,2.0,0
3,7.5,146.0,2.0,83.5,1.0,64.0,1
4,6.11,55.0,1.0,55.56,22.0,167.0,1
5,4.0,324.0,1.0,27.0,16.0,9.0,1
6,4.0,325.0,1.0,18.0,17.0,1.0,0
7,19.0,337.0,1.0,0.0,21.0,6.0,1
8,14.5,15.0,1.0,29.5,1.0,15.0,1
9,11.0,1.0,1.0,29.0,0.0,1.0,1
10,3.0,19.0,1.0,96.0,7.0,2.0,0
11,24.5,17.0,1.0,12.5,4.0,5.0,1
12,13.0,68.0,1.0,5.0,17.0,1.0,0
13,15.33,0.0,2.0,64.0,0.0,192.0,1
14,8.0,19.0,1.0,26.25,6.0,6.0,1
15,20.0,15.0,1.0,4.0,6.0,2.0,0
16,21.0,5.0,1.0,21.0,3.0,1.0,0
17,9.38,15.0,2.0,37.88,0.98,130.0,1
18,7.0,2.0,1.0,21.0,1.0,2.0,1
19,24.0,4.0,1.0,6.0,3.0,1.0,0
20,23.97,49.0,2.0,1.0,1.0,251.0,1
21,21.0,19.0,1.0,0.0,15.0,0.0,1
22,6.75,26.0,2.0,53.75,0.63,51.0,1
23,1.45,77.0,2.0,17.8,0.0,270.0,1
24,1.0,36.0,2.0,12.0,0.38,336.0,1
25,49.0,4.0,1.0,2.0,2.0,5.0,1
26,5.4,26.0,2.0,3.4,0.93,73.0,1
27,2.74,12.0,1.0,1.84,6.0,247.0,1
28,18.77,37.0,3.0,5.55,0.26,531.0,1
29,14.0,30.0,2.0,2.67,1.16,46.0,1
30,4.22,18.0,1.0,9.33,12.0,155.0,1
31,60.0,90.0,1.0,1.0,32.0,81.0,1
32,6.29,57.0,1.0,1.57,25.0,763.0,1
33,25.0,93.0,1.0,0.4,33.0,27.0,0
34,1.56,19.0,1.0,6.69,13.0,1464.0,1
35,28.0,40.0,1.0,6.0,15.0,1.0,0
36,15.92,52.0,2.0,30.5,1.16,313.0,1
37,1.79,103.0,1.0,25.59,5.0,1361.0,1
38,29.0,71.0,1.0,41.0,25.0,7.0,1
39,3.7,109.0,1.0,18.16,11.0,472.0,1
40,7.18,110.0,3.0,2.09,0.0,670.0,1
41,2.33,41.0,1.0,21.33,35.0,11.0,1
