,ent,aexp,ndev,ns,age,asexp,la,ld,target
0,0.59,569.0,2.0,1.0,43.5,229.0,5.0,2.0,True
1,0.0,53.0,3.0,1.0,2.0,37.0,9.0,7.0,True
2,1.08,42.0,0.33,1.0,0.0,8.0,79.0,3.0,True
3,0.0,43.0,0.0,1.0,0.0,9.0,0.0,27.0,False
4,1.75,738.0,3.75,1.0,28.25,276.0,79.0,13.0,True
5,2.07,48.0,0.2,1.0,0.8,14.0,359.0,100.0,True
6,0.97,6.0,3.0,1.0,12.5,5.0,20.0,0.0,True
7,1.77,53.0,0.2,1.0,2.0,18.0,617.0,32.0,True
8,0.89,57.0,0.5,1.0,0.0,22.0,16.0,10.0,True
9,1.13,59.0,0.33,1.0,0.0,24.0,130.0,10.0,True
10,0.62,60.0,0.5,2.0,0.0,0.0,57.0,2.0,True
11,1.0,67.0,0.5,1.0,1.5,32.0,61.0,1.0,True
12,0.7,68.0,0.5,1.0,1.0,33.0,12.0,9.0,True
13,1.14,72.0,0.33,1.0,4.33,36.0,93.0,3.0,True
14,1.58,74.0,0.33,1.0,0.0,38.0,0.0,3.0,True
15,0.43,103.0,1.0,1.0,2.5,44.0,44.0,2.0,True
16,0.31,104.0,1.0,1.0,0.0,45.0,54.0,17.0,True
17,0.89,110.0,1.5,1.0,0.0,50.0,122.0,7.0,True
18,3.19,2.0,1.5,3.0,12.29,0.44,795.0,56.0,True
19,1.16,17.0,5.67,1.0,18.0,10.0,31.0,3.0,True
20,2.8,162.0,1.9,1.0,17.1,86.0,129.0,112.0,True
21,0.92,59.0,1.5,1.0,0.0,47.0,6.0,3.0,True
22,0.0,155.0,9.0,1.0,0.0,44.0,0.0,1.0,False
23,1.0,2.0,5.5,1.0,62.5,2.0,19.0,24.0,True
24,1.44,1102.0,2.25,1.0,15.25,22.0,23.0,38.0,True
25,1.18,111.0,1.33,2.0,1.0,0.0,20.0,9.0,True
26,2.9,120.0,0.7,1.0,10.4,24.0,347.0,228.0,True
27,1.37,32.0,2.67,1.0,2.33,26.0,5.0,5.0,True
28,0.0,219.0,1.0,1.0,0.0,76.0,0.0,2.0,False
29,1.37,220.0,1.8,2.0,1.6,0.99,169.0,33.0,True
30,0.0,83.0,5.0,1.0,62.0,2.0,16.0,11.0,True
31,0.0,7.0,6.0,1.0,0.0,0.0,12.0,8.0,True
32,1.56,1495.0,2.25,1.0,4.75,28.0,14.0,10.0,True
33,0.0,14.0,6.0,1.0,11.0,11.0,32.0,0.0,True
34,4.0,0.0,0.35,2.0,24.6,0.0,203.0,121.0,True
35,2.56,10.0,3.2,6.0,16.33,0.17,154.0,88.0,True
36,2.11,134.0,4.6,2.0,2.6,0.0,75.0,0.0,True
37,1.37,0.0,1.33,1.0,8.0,0.0,5.0,5.0,True
38,1.88,1.0,11.0,2.0,6.75,0.0,8.0,5.0,True
39,1.0,0.0,12.0,1.0,17.5,0.0,15.0,3.0,True
40,3.85,48.0,0.95,1.0,55.79,22.0,330.0,70.0,True
41,2.22,9.0,8.86,2.0,13.71,0.91,656.0,16.0,True
42,4.41,89.0,0.55,2.0,8.53,0.25,1861.0,19.0,True
43,1.52,55.0,0.6,1.0,2.0,28.0,91.0,10.0,True
44,3.16,662.0,0.75,1.0,71.75,251.0,292.0,364.0,True
45,2.52,667.0,3.29,1.0,27.36,255.0,144.0,23.0,True
46,0.81,11.0,2.0,2.0,1.0,0.31,399.0,69.0,True
47,4.14,145.0,2.22,4.0,6.49,0.33,1257.0,392.0,True
48,3.23,260.0,1.27,1.0,104.47,74.0,766.0,376.0,True
49,1.57,261.0,2.25,1.0,0.0,75.0,69.0,34.0,True
50,2.38,44.0,2.6,3.0,25.1,0.0,651.0,143.0,True
51,2.1,0.0,11.4,3.0,19.0,0.0,21.0,5.0,True
52,1.82,727.0,1.71,1.0,24.0,34.0,304.0,174.0,True
53,2.4,97.0,14.67,3.0,19.67,0.33,62.0,0.0,True
54,3.91,37.0,1.31,3.0,7.31,0.62,1753.0,156.0,True
55,1.0,161.0,2.5,1.0,5.5,134.0,6.0,7.0,True
56,1.21,130.0,3.33,3.0,0.67,0.0,215.0,1.0,True
57,3.08,353.0,0.29,2.0,13.47,0.0,1048.0,262.0,True
58,0.92,155.0,14.0,1.0,14.0,5.0,89.0,32.0,True
59,1.58,0.0,1.0,1.0,15.67,0.0,221.0,1.0,True
60,1.79,65.0,3.8,2.0,14.4,0.0,71.0,11.0,True
61,1.06,62.0,1.33,2.0,11.33,1.0,278.0,0.0,True
62,3.25,841.0,3.0,1.0,27.53,115.0,706.0,26.0,True
63,3.84,249.0,3.67,5.0,10.15,0.41,2767.0,64.0,True
64,3.23,844.0,2.92,2.0,13.54,0.0,772.0,541.0,True
65,1.2,50.0,21.0,2.0,11.33,0.88,10.0,3.0,True
66,0.0,5.0,4.0,1.0,1.0,5.0,13.0,2.0,True
67,1.05,0.0,4.0,2.0,6.33,0.0,22.0,18.0,True
68,1.65,187.0,2.25,2.0,25.0,0.02,210.0,112.0,True
