,ent,aexp,ndev,ns,age,asexp,la,ld,target
0,2.33,0.0,8.0,3.0,32.43,0.0,42.0,31.0,True
1,2.62,24.0,6.38,4.0,4.12,0.33,179.0,2.0,False
2,2.34,32.0,8.5,2.0,3.67,0.02,159.0,4.0,False
3,2.46,2.0,8.33,2.0,15.33,0.0,223.0,17.0,False
4,2.22,9.0,8.86,2.0,13.71,0.91,656.0,16.0,True
5,2.46,43.0,10.0,2.0,16.0,0.15,115.0,1.0,False
6,2.19,172.0,4.81,3.0,15.62,0.0,186.0,223.0,True
7,3.6,188.0,4.19,3.0,29.76,0.84,588.0,134.0,False
8,2.16,83.0,7.75,2.0,48.12,0.96,310.0,106.0,True
9,1.88,150.0,6.38,2.0,2.25,1.0,319.0,22.0,True
10,2.38,44.0,2.6,3.0,25.1,0.0,651.0,143.0,False
11,2.39,194.0,8.71,2.0,5.29,1.53,269.0,172.0,False
12,3.1,88.0,6.21,4.0,40.43,0.25,45.0,32.0,False
13,2.1,0.0,11.4,3.0,19.0,0.0,21.0,5.0,True
14,2.4,97.0,14.67,3.0,19.67,0.33,62.0,0.0,True
15,1.52,37.0,11.86,3.0,7.29,0.49,69.0,55.0,True
16,2.81,114.0,7.21,4.0,38.57,0.58,254.0,75.0,True
17,1.49,3.0,9.5,3.0,11.25,0.0,69.0,125.0,True
18,2.86,58.0,2.83,3.0,32.92,0.0,502.0,311.0,False
19,3.35,14.0,5.43,4.0,48.22,0.33,488.0,81.0,False
20,3.12,10.0,4.38,4.0,16.56,0.0,635.0,111.0,False
21,2.78,19.0,4.0,2.0,5.3,0.0,149.0,46.0,False
22,2.56,5.0,13.0,3.0,49.33,0.0,15.0,3.0,True
23,3.24,88.0,4.27,3.0,40.0,0.49,147.0,192.0,False
24,1.92,4.0,8.4,3.0,17.4,0.51,5.0,27.0,True
25,2.11,47.0,6.71,2.0,1.0,0.91,185.0,20.0,True
26,2.35,103.0,5.25,2.0,2.75,0.01,136.0,14.0,True
27,2.12,12.0,12.62,4.0,11.12,0.27,617.0,5.0,True
28,2.53,0.0,4.25,3.0,0.62,0.0,180.0,0.0,True
29,2.6,9.0,4.38,3.0,0.0,0.17,261.0,2.0,True
30,2.31,10.0,5.5,3.0,0.0,0.17,109.0,13.0,True
31,2.13,1.0,4.5,3.0,0.12,1.0,156.0,0.0,True
32,3.1,9.0,6.53,4.0,56.4,0.27,394.0,17.0,False
33,1.79,25.0,9.4,2.0,15.0,0.62,309.0,0.0,True
