,ent,aexp,ndev,ns,age,asexp,la,ld,target
0,0.09,45.0,0.5,1.0,0.5,11.0,173.0,10.0,False
1,1.13,59.0,0.33,1.0,0.0,24.0,130.0,10.0,False
2,1.58,74.0,0.33,1.0,0.0,38.0,0.0,3.0,False
3,1.78,154.0,2.0,2.0,73.0,0.99,18.0,5.0,False
4,1.12,98.0,2.67,2.0,11.0,0.88,82.0,2.0,False
5,0.43,103.0,1.0,1.0,2.5,44.0,44.0,2.0,False
6,0.97,108.0,3.0,1.0,8.0,54.0,7.0,26.0,False
7,2.61,178.0,1.0,3.0,7.89,0.0,36.0,35.0,False
8,1.88,15.0,1.6,2.0,15.8,0.82,44.0,25.0,False
9,0.41,3.0,5.33,1.0,18.0,3.0,37.0,37.0,False
10,2.46,135.0,0.88,1.0,60.12,76.0,85.0,118.0,False
11,0.41,1.0,7.5,2.0,35.5,0.5,24.0,0.0,False
12,3.79,108.0,1.82,3.0,3.64,0.0,626.0,170.0,False
13,2.44,123.0,2.0,3.0,20.0,0.39,109.0,37.0,False
14,2.9,120.0,0.7,1.0,10.4,24.0,347.0,228.0,False
15,1.41,25.0,0.33,1.0,1.67,0.0,296.0,54.0,False
16,2.44,35.0,1.43,1.0,0.0,29.0,13.0,15.0,False
17,3.23,216.0,0.55,2.0,21.64,0.99,529.0,33.0,False
18,1.37,220.0,1.8,2.0,1.6,0.99,169.0,33.0,False
19,0.0,222.0,4.0,1.0,0.0,101.0,1.0,1.0,False
20,2.84,374.0,1.44,2.0,6.44,0.88,123.0,1.0,False
21,0.95,1.0,1.0,1.0,0.0,1.0,4.0,7.0,True
22,1.15,2.0,0.67,1.0,0.0,2.0,2.0,5.0,True
23,0.0,14.0,6.0,1.0,11.0,11.0,32.0,0.0,False
24,0.98,6.0,10.0,1.0,4.0,5.0,45.0,8.0,False
25,2.72,1.0,1.86,2.0,22.0,0.5,2.0,8.0,False
26,3.74,326.0,0.22,2.0,4.83,0.0,130.0,95.0,False
27,1.0,0.0,12.0,1.0,17.5,0.0,15.0,3.0,False
28,1.51,164.0,14.67,1.0,0.33,90.0,42.0,0.0,False
29,0.95,50.0,3.5,1.0,72.5,13.0,100.0,19.0,False
30,3.23,17.0,0.33,1.0,0.58,14.0,108.0,118.0,False
31,1.83,4.0,0.86,1.0,1.0,4.0,162.0,4.0,False
32,2.4,61.0,0.5,1.0,89.67,14.0,425.0,2.0,False
33,2.19,172.0,4.81,3.0,15.62,0.0,186.0,223.0,False
34,2.99,71.0,4.11,3.0,63.56,0.35,21.0,18.0,False
35,2.88,1.0,6.8,1.0,22.8,0.0,892.0,5.0,False
36,1.88,150.0,6.38,2.0,2.25,1.0,319.0,22.0,False
37,2.38,0.0,3.0,2.0,95.17,0.0,240.0,38.0,False
38,3.34,104.0,0.65,2.0,16.65,0.51,382.0,437.0,False
39,1.86,0.0,1.8,1.0,22.0,0.0,59.0,0.0,False
40,1.42,108.0,0.5,3.0,0.0,0.33,5.0,7.0,False
41,0.87,83.0,8.67,2.0,29.33,0.5,75.0,3.0,False
42,3.1,88.0,6.21,4.0,40.43,0.25,45.0,32.0,False
43,2.17,723.0,11.6,3.0,0.0,0.13,8.0,13.0,False
44,3.4,3.0,3.0,1.0,41.39,1.0,375.0,33.0,False
45,2.4,97.0,14.67,3.0,19.67,0.33,62.0,0.0,False
46,1.54,9.0,0.33,1.0,0.67,1.0,170.0,15.0,False
47,1.0,161.0,2.5,1.0,5.5,134.0,6.0,7.0,False
48,0.92,0.0,1.0,1.0,2.5,0.0,2.0,1.0,True
49,1.83,1.0,1.25,1.0,0.5,1.0,287.0,66.0,False
50,0.62,0.0,12.5,2.0,4.5,0.0,132.0,4.0,False
51,1.59,138.0,4.25,2.0,0.75,0.02,216.0,0.0,False
52,0.92,155.0,14.0,1.0,14.0,5.0,89.0,32.0,False
53,1.49,3.0,9.5,3.0,11.25,0.0,69.0,125.0,False
54,1.79,3.0,7.25,1.0,5.5,0.0,180.0,59.0,False
55,1.29,10.0,4.25,3.0,35.38,0.5,256.0,151.0,False
56,3.35,14.0,5.43,4.0,48.22,0.33,488.0,81.0,False
57,2.36,366.0,5.0,2.0,3.43,0.99,503.0,61.0,False
58,2.78,19.0,4.0,2.0,5.3,0.0,149.0,46.0,False
59,2.0,3.0,3.0,2.0,21.17,0.88,104.0,27.0,False
60,1.52,11.0,1.25,1.0,6.0,9.0,438.0,74.0,False
61,2.19,373.0,7.43,2.0,57.86,0.0,147.0,33.0,False
62,2.17,0.0,0.2,1.0,16.8,0.0,471.0,8.0,False
63,0.72,2.0,2.0,1.0,21.5,0.0,24.0,1.0,False
64,1.0,16.0,1.5,2.0,0.0,0.83,165.0,0.0,False
65,2.4,86.0,2.31,1.0,1.15,83.0,807.0,7.0,False
66,2.91,69.0,1.0,1.0,10.85,47.0,284.0,19.0,False
67,3.29,168.0,1.36,1.0,5.07,29.0,141.0,129.0,False
68,1.35,83.0,2.25,1.0,3.5,50.0,39.0,4.0,False
69,1.0,52.0,1.0,1.0,36.5,21.0,33.0,2.0,False
70,1.3,2.0,5.67,2.0,25.0,0.25,23.0,5.0,False
71,1.7,5.0,0.6,1.0,27.4,4.0,258.0,4.0,False
72,2.11,47.0,6.71,2.0,1.0,0.91,185.0,20.0,False
73,1.7,286.0,1.75,1.0,3.0,22.0,87.0,19.0,False
74,1.5,49.0,11.33,2.0,0.0,0.91,119.0,6.0,False
75,2.35,103.0,5.25,2.0,2.75,0.01,136.0,14.0,False
76,1.75,34.0,3.6,1.0,2.0,22.0,400.0,8.0,False
77,1.45,301.0,1.0,2.0,12.0,0.73,31.0,4.0,False
78,1.81,126.0,0.2,1.0,3.0,113.0,187.0,101.0,False
79,1.1,104.0,5.33,2.0,3.0,0.87,41.0,26.0,False
80,3.01,305.0,2.08,3.0,17.83,0.39,112.0,65.0,False
81,2.13,1.0,4.5,3.0,0.12,1.0,156.0,0.0,False
82,1.57,17.0,0.0,1.0,0.0,0.0,241.0,0.0,False
83,0.0,1.0,9.0,1.0,0.0,0.0,30.0,10.0,False
84,3.35,216.0,3.31,1.0,6.25,67.0,122.0,50.0,False
85,1.33,137.0,0.75,2.0,7.5,0.5,141.0,21.0,False
86,2.46,138.0,7.0,1.0,4.88,123.0,80.0,46.0,False
87,1.6,119.0,1.25,2.0,1.5,0.47,71.0,11.0,False
88,2.27,51.0,2.8,1.0,20.0,34.0,99.0,3.0,False
89,1.16,251.0,3.5,1.0,0.0,154.0,28.0,25.0,False
90,1.44,240.0,2.0,2.0,4.67,0.02,11.0,45.0,False
91,1.36,91.0,2.5,1.0,3.5,63.0,74.0,7.0,False
