,ent,aexp,ndev,ns,age,asexp,la,ld,target
0,0.41,1.0,7.5,2.0,35.5,0.5,24.0,0.0,0
1,1.0,2.0,5.5,1.0,62.5,2.0,19.0,24.0,1
2,3.39,29.0,2.47,3.0,114.21,0.0,250.0,110.0,1
3,2.33,0.0,8.0,3.0,32.43,0.0,42.0,31.0,1
4,2.11,134.0,4.6,2.0,2.6,0.0,75.0,0.0,1
5,1.86,4.0,6.5,1.0,3.83,1.0,90.0,19.0,1
6,1.45,324.0,3.6,3.0,22.2,0.0,360.0,146.0,1
7,2.87,598.0,8.64,3.0,21.82,0.46,189.0,135.0,1
8,2.62,24.0,6.38,4.0,4.12,0.33,179.0,2.0,1
9,2.34,32.0,8.5,2.0,3.67,0.02,159.0,4.0,1
10,2.46,2.0,8.33,2.0,15.33,0.0,223.0,17.0,0
11,1.88,1.0,11.0,2.0,6.75,0.0,8.0,5.0,1
12,1.0,0.0,12.0,1.0,17.5,0.0,15.0,3.0,1
13,1.51,164.0,14.67,1.0,0.33,90.0,42.0,0.0,1
14,1.17,170.0,8.71,1.0,14.71,63.0,284.0,131.0,1
15,2.19,172.0,4.81,3.0,15.62,0.0,186.0,223.0,1
16,3.49,51.0,4.29,4.0,69.71,0.33,195.0,87.0,1
17,3.6,188.0,4.19,3.0,29.76,0.84,588.0,134.0,0
18,2.16,83.0,7.75,2.0,48.12,0.96,310.0,106.0,1
19,3.03,144.0,3.67,4.0,12.25,0.33,78.0,32.0,1
20,2.51,146.0,2.67,4.0,1.6,0.33,272.0,23.0,1
21,2.38,0.0,3.0,2.0,95.17,0.0,240.0,38.0,1
22,1.18,98.0,6.33,1.0,83.0,56.0,53.0,53.0,1
23,2.39,194.0,8.71,2.0,5.29,1.53,269.0,172.0,1
24,0.87,83.0,8.67,2.0,29.33,0.5,75.0,3.0,1
25,3.1,88.0,6.21,4.0,40.43,0.25,45.0,32.0,1
26,2.1,0.0,11.4,3.0,19.0,0.0,21.0,5.0,1
27,2.17,723.0,11.6,3.0,0.0,0.13,8.0,13.0,1
28,3.92,212.0,4.64,3.0,47.24,0.72,168.0,48.0,1
29,2.4,97.0,14.67,3.0,19.67,0.33,62.0,0.0,0
30,1.52,37.0,11.86,3.0,7.29,0.49,69.0,55.0,1
31,2.81,114.0,7.21,4.0,38.57,0.58,254.0,75.0,1
32,0.83,0.0,12.5,1.0,4.0,0.0,62.0,3.0,1
33,0.62,0.0,12.5,2.0,4.5,0.0,132.0,4.0,1
34,3.17,138.0,6.33,6.0,36.6,0.34,40.0,49.0,1
35,1.0,7.0,18.0,1.0,1.0,7.0,87.0,12.0,1
36,0.92,155.0,14.0,1.0,14.0,5.0,89.0,32.0,1
37,1.49,3.0,9.5,3.0,11.25,0.0,69.0,125.0,1
38,2.86,58.0,2.83,3.0,32.92,0.0,502.0,311.0,1
39,1.79,65.0,3.8,2.0,14.4,0.0,71.0,11.0,1
40,1.0,2.0,14.0,1.0,31.0,0.0,28.0,0.0,1
41,1.79,3.0,7.25,1.0,5.5,0.0,180.0,59.0,1
42,2.36,363.0,5.0,2.0,18.0,0.99,503.0,61.0,1
43,2.14,2.0,6.0,5.0,20.86,0.04,124.0,15.0,0
44,3.35,14.0,5.43,4.0,48.22,0.33,488.0,81.0,1
45,2.78,19.0,4.0,2.0,5.3,0.0,149.0,46.0,1
46,2.56,5.0,13.0,3.0,49.33,0.0,15.0,3.0,1
47,2.78,160.0,15.8,6.0,18.1,0.17,8.0,51.0,1
48,1.92,4.0,8.4,3.0,17.4,0.51,5.0,27.0,1
49,2.25,135.0,6.8,1.0,94.0,35.0,56.0,8.0,0
50,1.5,120.0,31.67,2.0,37.67,0.63,4.0,4.0,1
51,1.3,2.0,5.67,2.0,25.0,0.25,23.0,5.0,1
52,2.11,47.0,6.71,2.0,1.0,0.91,185.0,20.0,1
53,1.5,49.0,11.33,2.0,0.0,0.91,119.0,6.0,1
54,3.13,9.0,6.5,1.0,14.33,8.0,59.0,15.0,0
55,1.1,104.0,5.33,2.0,3.0,0.87,41.0,26.0,1
56,1.72,235.0,6.25,2.0,10.25,0.0,102.0,2.0,1
57,2.53,0.0,4.25,3.0,0.62,0.0,180.0,0.0,0
58,2.6,9.0,4.38,3.0,0.0,0.17,261.0,2.0,1
59,2.31,10.0,5.5,3.0,0.0,0.17,109.0,13.0,1
60,3.1,9.0,6.53,4.0,56.4,0.27,394.0,17.0,1
61,1.61,41.0,11.0,2.0,30.0,0.01,57.0,15.0,1
62,1.79,25.0,9.4,2.0,15.0,0.62,309.0,0.0,1
63,2.75,117.0,14.7,7.0,19.3,0.19,122.0,37.0,1
64,1.93,118.0,3.85,3.0,70.23,0.49,221.0,36.0,1
65,2.78,0.0,6.38,3.0,18.56,0.0,574.0,64.0,0
66,0.98,80.0,24.0,1.0,5.0,1.0,24.0,0.0,1
67,3.82,16.0,4.4,2.0,34.2,0.2,80.0,27.0,1
68,2.06,124.0,7.17,3.0,45.5,0.61,48.0,27.0,1
69,2.6,273.0,6.75,3.0,24.75,0.11,75.0,270.0,1
70,1.9,2.0,24.5,2.0,54.75,0.75,10.0,7.0,1
71,3.45,115.0,6.4,5.0,58.53,0.25,128.0,61.0,1
72,2.59,139.0,3.56,2.0,128.78,1.0,118.0,25.0,1
73,1.56,3.0,3.67,2.0,11.33,0.25,200.0,143.0,1
74,1.78,142.0,4.75,2.0,24.25,0.91,39.0,13.0,1
75,2.73,3.0,1.58,4.0,58.33,0.33,485.0,52.0,0
76,2.11,9.0,11.6,4.0,31.4,0.25,120.0,2.0,1
77,3.12,8.0,2.74,2.0,102.87,0.06,84.0,50.0,1
78,2.42,355.0,2.33,4.0,111.33,0.58,90.0,53.0,1
79,1.95,201.0,9.75,2.0,53.75,0.97,28.0,10.0,1
80,1.58,39.0,6.4,2.0,14.4,0.52,204.0,1.0,1
81,3.41,11.0,4.38,3.0,51.95,0.46,327.0,135.0,1
82,4.14,256.0,7.12,7.0,80.96,0.17,152.0,133.0,1
83,2.0,0.0,21.2,2.0,33.2,0.0,30.0,1.0,1
84,3.42,12.0,4.43,3.0,2.81,0.46,329.0,135.0,1
85,4.21,19.0,6.0,6.0,33.5,0.2,81.0,69.0,1
86,2.84,7.0,5.25,2.0,59.25,0.33,18.0,12.0,1
87,1.72,96.0,19.2,3.0,44.2,0.5,64.0,7.0,1
88,1.58,51.0,8.0,2.0,2.5,0.0,165.0,0.0,1
89,0.62,312.0,16.33,4.0,18.83,0.13,276.0,14.0,1
90,1.85,29.0,13.8,2.0,170.8,0.06,325.0,13.0,1
91,1.47,316.0,14.0,2.0,22.5,0.28,45.0,11.0,1
92,2.18,208.0,11.8,2.0,11.2,0.5,49.0,42.0,1
93,2.33,14.0,7.43,3.0,32.29,0.33,69.0,74.0,1
94,1.11,180.0,5.17,3.0,30.67,0.49,288.0,29.0,1
95,3.13,181.0,7.58,3.0,11.83,0.49,84.0,64.0,1
96,0.0,186.0,12.0,1.0,43.0,5.0,2.0,5.0,0
97,2.92,307.0,4.26,2.0,28.52,1.0,281.0,246.0,1
98,3.8,47.0,9.55,8.0,47.41,0.14,601.0,185.0,1
99,2.65,267.0,16.56,4.0,0.44,0.0,892.0,12.0,1
100,2.46,341.0,6.6,3.0,24.0,0.11,182.0,127.0,1
101,2.69,14.0,3.9,4.0,64.4,0.31,431.0,298.0,1
102,2.43,4.0,10.25,3.0,33.12,0.0,22.0,239.0,1
103,2.36,229.0,12.8,4.0,139.7,0.0,107.0,121.0,1
104,2.0,414.0,14.25,4.0,38.5,0.25,58.0,576.0,1
105,1.55,52.0,6.33,2.0,5.67,0.52,133.0,0.0,1
106,3.02,285.0,4.06,3.0,1.71,0.17,40.0,54.0,1
107,1.61,175.0,6.0,2.0,27.0,0.0,31.0,66.0,1
108,2.14,1.0,5.29,2.0,15.0,0.0,195.0,53.0,1
109,3.44,419.0,4.86,3.0,78.86,0.72,135.0,73.0,1
110,2.95,421.0,4.28,3.0,59.11,0.39,463.0,138.0,1
111,1.67,379.0,7.4,2.0,10.2,0.3,52.0,133.0,1
112,1.74,34.0,6.0,4.0,5.43,0.2,20.0,22.0,1
113,2.62,4.0,11.89,3.0,109.11,0.35,13.0,158.0,1
114,2.03,233.0,19.17,1.0,150.17,13.0,80.0,16.0,1
115,2.09,426.0,15.86,3.0,1.71,0.0,46.0,105.0,1
116,2.43,390.0,12.88,3.0,10.12,0.61,83.0,16.0,1
117,2.49,0.0,8.88,3.0,28.0,0.0,35.0,20.0,1
118,0.95,3.0,7.5,1.0,4.5,0.0,26.0,1.0,1
119,1.74,1.0,6.71,1.0,30.71,0.0,157.0,114.0,1
120,2.23,10.0,9.2,3.0,23.4,0.35,9.0,7.0,1
121,2.21,10.0,10.5,2.0,37.75,0.52,324.0,46.0,1
122,0.74,4.0,8.0,1.0,5.0,3.0,108.0,11.0,1
123,1.39,241.0,16.33,2.0,21.33,1.13,23.0,21.0,1
124,2.96,11.0,4.8,3.0,30.2,0.23,39.0,39.0,1
125,2.1,0.0,8.4,5.0,16.8,0.0,13.0,13.0,0
126,2.88,81.0,7.17,1.0,15.42,76.0,132.0,111.0,0
127,2.46,175.0,3.78,2.0,46.89,0.54,87.0,50.0,1
128,3.17,9.0,10.85,6.0,14.77,0.2,72.0,53.0,1
129,3.17,421.0,6.69,3.0,47.12,0.11,145.0,106.0,1
130,2.31,5.0,5.88,1.0,21.25,4.0,76.0,6.0,0
131,3.18,255.0,4.0,2.0,62.06,0.7,63.0,62.0,1
132,2.93,257.0,6.0,4.0,20.25,0.0,15.0,6.0,1
133,0.0,189.0,11.0,1.0,15.0,15.0,0.0,240.0,0
134,2.0,13.0,7.0,1.0,10.8,13.0,31.0,10.0,1
135,2.85,260.0,18.9,6.0,21.3,0.34,33.0,90.0,1
136,3.03,283.0,5.33,4.0,19.0,0.33,54.0,36.0,1
137,3.17,265.0,11.69,4.0,35.54,0.25,44.0,48.0,1
138,1.75,4.0,5.75,2.0,35.75,0.12,38.0,18.0,1
139,1.87,330.0,16.4,2.0,63.4,0.0,43.0,43.0,1
140,1.76,199.0,16.25,3.0,34.75,0.12,106.0,47.0,1
141,2.2,3.0,4.43,1.0,71.29,0.0,192.0,156.0,0
142,2.22,339.0,8.44,2.0,6.78,0.0,137.0,117.0,1
143,1.87,10.0,19.4,2.0,6.4,0.0,138.0,12.0,1
144,3.31,14.0,13.77,5.0,95.54,0.29,92.0,109.0,1
145,3.29,0.0,10.78,5.0,25.78,0.0,478.0,28.0,0
146,1.56,35.0,26.5,2.0,31.5,0.53,32.0,2.0,1
147,3.25,291.0,6.18,6.0,83.55,0.17,20.0,20.0,1
148,1.69,3.0,4.75,1.0,27.62,3.0,326.0,119.0,0
149,2.7,8.0,18.14,3.0,12.43,0.18,11.0,6.0,1
150,2.6,0.0,11.0,3.0,32.56,0.0,246.0,73.0,0
151,2.32,0.0,3.17,3.0,16.5,0.0,144.0,46.0,1
152,1.99,17.0,3.67,2.0,93.83,0.62,631.0,151.0,1
153,2.37,313.0,14.89,3.0,31.22,0.37,29.0,51.0,1
154,2.53,0.0,12.56,2.0,48.44,0.0,689.0,37.0,1
155,3.23,275.0,4.59,2.0,36.41,0.25,597.0,111.0,1
156,2.59,0.0,2.0,5.0,48.0,0.0,25.0,9.0,0
157,1.95,3.0,6.75,2.0,111.5,0.88,710.0,8.0,0
158,2.97,8.0,2.3,3.0,38.9,0.06,252.0,144.0,1
159,1.86,144.0,30.5,4.0,4.75,0.33,7.0,26.0,1
160,3.9,0.0,4.83,3.0,121.29,0.0,689.0,5.0,0
161,2.07,192.0,5.6,2.0,72.2,0.07,19.0,9.0,1
162,2.1,21.0,4.44,1.0,58.56,15.0,230.0,91.0,0
163,2.44,197.0,3.38,3.0,11.5,0.0,72.0,52.0,1
164,1.75,381.0,5.8,2.0,18.0,0.91,414.0,25.0,1
165,2.27,2.0,14.33,2.0,2.83,1.25,533.0,0.0,1
166,2.33,207.0,18.17,2.0,92.33,0.07,38.0,27.0,1
167,2.52,1.0,5.78,4.0,45.22,0.25,601.0,53.0,0
168,3.02,10.0,5.18,4.0,17.12,0.02,740.0,231.0,1
169,2.89,2.0,8.0,3.0,92.94,0.0,407.0,83.0,0
170,1.56,24.0,9.0,2.0,40.67,0.62,247.0,82.0,1
171,2.18,7.0,5.83,5.0,31.0,0.0,3.0,131.0,1
172,1.72,198.0,4.4,3.0,1.8,0.5,19.0,19.0,1
173,3.44,10.0,6.74,4.0,23.37,0.83,439.0,94.0,0
174,1.66,10.0,13.11,3.0,50.44,0.5,235.0,12.0,1
175,3.47,232.0,4.35,3.0,111.2,0.49,710.0,270.0,1
176,4.27,35.0,4.43,5.0,107.07,0.24,68.0,71.0,1
177,3.52,0.0,6.62,1.0,119.77,0.0,22.0,29.0,1
178,2.04,75.0,6.4,3.0,7.0,0.5,244.0,1.0,1
179,2.41,419.0,9.38,2.0,58.62,1.0,76.0,54.0,1
180,2.38,77.0,1.88,3.0,77.62,0.5,310.0,18.0,1
181,0.0,30.0,10.0,1.0,108.0,24.0,9.0,8.0,0
182,2.52,62.0,5.22,3.0,139.44,0.11,408.0,46.0,1
183,1.79,140.0,6.23,1.0,93.54,3.0,516.0,29.0,1
184,1.91,3.0,14.5,4.0,15.5,0.81,2.0,6.0,1
185,1.49,236.0,5.0,2.0,52.0,0.0,11.0,0.0,1
186,0.0,4.0,11.0,1.0,21.0,3.0,9.0,0.0,0
187,3.78,279.0,7.05,3.0,67.71,0.09,42.0,101.0,1
188,0.0,15.0,12.0,1.0,0.0,12.0,33.0,11.0,0
189,1.42,49.0,23.0,2.0,37.75,0.0,160.0,0.0,1
190,2.24,2.0,17.11,4.0,38.44,0.31,109.0,15.0,0
191,0.95,267.0,6.67,2.0,45.0,0.47,5.0,38.0,1
192,2.48,46.0,10.44,2.0,38.22,0.02,132.0,13.0,1
193,1.91,5.0,7.5,1.0,169.0,3.0,60.0,16.0,1
194,2.95,20.0,5.0,2.0,29.45,1.0,108.0,45.0,1
195,1.85,21.0,3.6,2.0,52.0,1.02,70.0,27.0,1
196,1.47,362.0,26.67,5.0,19.83,0.2,52.0,13.0,1
197,2.03,23.0,18.0,2.0,62.57,0.0,265.0,13.0,1
198,1.0,8.0,6.5,2.0,38.5,0.56,8.0,2.0,1
199,1.58,10.0,12.33,1.0,111.33,3.0,3.0,3.0,1
200,2.36,253.0,11.4,2.0,18.1,0.0,832.0,26.0,1
201,0.85,40.0,23.33,5.0,96.56,0.01,20.0,274.0,1
202,0.92,165.0,28.0,2.0,8.5,1.0,2.0,1.0,1
203,1.47,0.0,8.25,1.0,64.5,0.0,131.0,4.0,1
204,3.06,370.0,14.0,6.0,9.09,0.17,17.0,18.0,1
205,2.15,3.0,19.2,3.0,64.2,0.0,16.0,0.0,0
206,0.0,1.0,12.0,1.0,96.0,1.0,3.0,3.0,0
207,1.0,49.0,14.5,2.0,1.0,0.02,4.0,2.0,1
208,1.74,169.0,16.78,3.0,35.0,0.0,353.0,11.0,1
209,0.99,10.0,14.5,2.0,71.5,0.42,14.0,2.0,1
