,nuc,aexp,age,asexp,la,ld,target
0,0.1,6.0,2.19,2.0,176.0,78.0,True
1,1.0,17.0,0.0,0.0,92.0,17.0,True
2,0.5,19.0,0.5,0.11,11.0,4.0,True
3,0.0,29.0,0.0,16.0,66.0,0.0,True
4,3.2,31.0,0.2,17.0,83.0,28.0,True
5,3.29,37.0,0.0,0.01,51.0,29.0,True
6,0.0,42.0,0.0,9.0,21.0,0.0,True
7,5.0,43.0,9.12,26.0,46.0,61.0,True
8,0.0,45.0,0.0,27.0,11.0,0.0,True
9,0.0,48.0,0.0,30.0,36.0,0.0,True
10,2.75,58.0,0.0,39.0,1.0,17.0,True
11,3.5,63.0,0.0,5.0,62.0,1.0,True
12,0.0,65.0,0.0,2.0,18.0,6.0,True
13,1.4,69.0,0.8,0.0,43.0,36.0,True
14,3.25,73.0,0.0,0.0,61.0,11.0,True
15,3.38,76.0,0.38,0.25,230.0,29.0,True
16,1.57,77.0,0.14,0.0,145.0,60.0,True
17,0.0,79.0,0.0,8.0,7.0,1.0,True
18,2.0,85.0,0.0,12.0,1.0,2.0,True
19,4.0,88.0,0.0,14.0,0.0,71.0,True
20,2.83,92.0,0.33,0.0,91.0,12.0,True
21,4.67,95.0,0.2,0.0,128.0,59.0,True
22,9.0,99.0,0.0,22.0,2.0,21.0,True
23,9.0,100.0,0.0,28.0,1.0,0.0,True
24,6.0,102.0,0.86,0.0,40.0,26.0,True
25,6.14,105.0,2.0,0.06,254.0,24.0,True
26,5.0,107.0,3.0,27.0,26.0,2.0,True
27,6.33,132.0,1.33,0.0,27.0,13.0,True
28,8.83,162.0,0.5,0.0,58.0,27.0,True
29,9.42,169.0,3.5,0.0,292.0,6.0,True
30,7.83,23.0,5.5,4.0,74.0,114.0,True
31,5.0,32.0,0.0,21.0,136.0,89.0,True
32,16.0,33.0,14.0,22.0,6.0,9.0,True
33,6.0,40.0,22.0,25.0,28.0,9.0,True
34,4.33,212.0,12.33,0.0,60.0,6.0,True
35,1.0,231.0,5.0,2.0,60.0,11.0,True
36,2.0,232.0,0.0,3.0,81.0,5.0,True
37,3.0,233.0,0.0,4.0,0.0,1.0,True
38,5.86,244.0,17.29,0.0,168.0,5.0,True
39,6.0,250.0,2.0,8.0,1.0,1.0,True
40,15.67,274.0,7.33,0.0,46.0,30.0,True
41,3.25,81.0,13.15,0.23,64.0,24.0,True
42,8.0,90.0,15.0,17.0,49.0,40.0,True
43,4.0,92.0,6.0,42.0,2.0,0.0,True
44,8.0,315.0,7.0,24.0,0.0,2.0,False
45,1.0,22.0,34.0,3.0,127.0,78.0,True
46,0.0,23.0,0.0,4.0,21.0,14.0,True
47,1.0,24.0,0.0,5.0,19.0,3.0,True
48,17.0,44.0,0.0,14.0,22.0,1.0,True
49,20.0,48.0,0.0,17.0,41.0,0.0,True
50,9.75,50.0,0.0,0.0,16.0,10.0,True
51,6.67,52.0,0.0,0.0,10.0,9.0,True
52,3.0,53.0,23.0,22.0,6.0,6.0,True
53,12.0,55.0,7.67,0.0,37.0,38.0,True
54,1.0,57.0,0.0,25.0,20.0,4.0,True
55,0.5,58.0,1.5,26.0,59.0,89.0,True
56,4.0,76.0,0.0,0.0,169.0,66.0,True
57,5.6,77.0,0.0,0.0,44.0,5.0,True
58,11.5,86.0,1.0,37.0,26.0,3.0,True
59,9.5,0.0,13.5,0.0,23.0,2.0,True
60,5.0,0.0,35.0,0.0,21.0,14.0,True
61,7.0,163.0,30.0,0.0,79.0,76.0,True
62,14.14,21.0,21.43,1.0,177.0,20.0,True
63,2.0,4.0,4.0,1.0,1.0,1.0,True
64,1.5,23.0,6.0,4.0,26.0,6.0,True
65,2.0,33.0,4.5,0.0,3.0,2.0,True
66,7.67,34.0,27.67,0.0,21.0,8.0,True
67,10.4,1.0,4.0,0.5,308.0,0.0,True
68,17.67,25.0,14.83,0.02,117.0,27.0,True
69,13.0,0.0,3.0,0.0,1.0,1.0,True
70,6.67,11.0,30.67,2.0,90.0,50.0,True
71,1.0,12.0,18.0,3.0,21.0,48.0,True
72,4.67,0.0,40.33,0.0,151.0,19.0,True
73,2.0,0.0,7.22,0.0,141.0,8.0,True
74,3.62,0.0,7.62,0.0,76.0,27.0,True
75,4.09,1.0,10.36,0.67,110.0,15.0,True
76,16.17,1.0,1.67,0.5,124.0,13.0,True
77,5.5,2.0,5.5,1.0,96.0,30.0,True
78,4.38,48.0,20.0,0.49,40.0,9.0,True
79,11.67,49.0,7.33,0.94,42.0,54.0,True
80,2.5,2.0,26.5,0.25,3.0,2.0,True
81,5.5,2.0,40.0,2.0,68.0,1.0,True
82,5.6,4.0,20.2,0.5,67.0,8.0,True
83,1.0,3.0,10.0,0.0,3.0,1.0,True
84,11.67,0.0,16.0,0.0,6.0,5.0,True
85,6.0,45.0,29.0,3.0,49.0,20.0,True
86,9.86,5.0,16.29,0.51,78.0,9.0,True
87,11.0,3.0,1.0,0.0,1.0,1.0,True
88,20.6,0.0,27.0,0.0,21.0,4.0,True
89,1.0,3.0,5.5,1.0,122.0,1.0,True
90,5.0,32.0,6.0,1.0,60.0,24.0,True
91,13.0,3.0,21.0,1.0,137.0,3.0,True
92,8.0,18.0,0.0,3.0,6.0,5.0,True
93,15.2,134.0,16.0,0.56,64.0,75.0,True
94,0.88,1.0,5.12,1.0,132.0,40.0,True
95,10.17,50.0,18.83,0.33,83.0,73.0,True
96,2.5,4.0,3.5,4.0,207.0,10.0,True
97,5.0,14.0,6.0,0.0,1.0,1.0,True
98,6.0,5.0,8.0,5.0,1.0,1.0,True
99,17.0,0.0,7.8,0.0,284.0,49.0,True
100,14.17,2.0,8.83,0.0,70.0,14.0,True
101,2.0,56.0,15.0,5.0,22.0,18.0,True
102,2.0,0.0,22.5,0.0,73.0,14.0,True
103,7.16,30.0,18.48,0.0,309.0,109.0,True
104,5.0,0.0,21.0,0.0,21.0,4.0,True
105,10.5,2.0,8.0,1.0,17.0,8.0,True
106,21.0,4.0,8.0,1.0,2.0,1.0,True
107,8.5,3.0,7.0,1.0,5.0,0.0,True
108,6.0,2.0,0.0,1.0,12.0,1.0,True
109,8.9,35.0,11.4,0.5,254.0,12.0,True
110,7.0,0.0,22.5,0.0,13.0,3.0,True
111,8.0,9.0,25.0,1.0,44.0,38.0,True
112,11.5,0.0,30.0,0.0,79.0,12.0,True
113,6.0,44.0,24.0,1.0,29.0,21.0,True
114,5.67,6.0,3.0,0.56,21.0,21.0,True
115,17.33,17.0,25.67,0.05,145.0,17.0,True
116,3.33,0.0,37.33,0.0,51.0,16.0,True
117,9.0,47.0,3.0,1.0,18.0,18.0,True
118,8.08,0.0,30.0,0.0,231.0,36.0,True
119,19.67,48.0,6.17,10.0,153.0,8.0,True
120,4.0,147.0,0.0,1.0,2.0,2.0,True
121,1.83,51.0,4.5,1.0,107.0,79.0,True
122,8.0,52.0,5.0,1.0,5.0,5.0,True
123,2.67,26.0,3.0,0.0,60.0,53.0,True
124,2.5,149.0,1.83,0.0,147.0,71.0,True
125,9.5,57.0,3.75,22.0,47.0,51.0,True
126,16.0,58.0,0.0,23.0,15.0,16.0,True
127,8.5,60.0,38.75,0.0,18.0,106.0,True
128,16.0,25.0,22.0,1.0,6.0,2.0,True
129,8.5,18.0,17.5,0.0,32.0,5.0,True
130,10.0,63.0,0.0,3.0,3.0,1.0,True
131,12.8,27.0,9.2,3.0,100.0,12.0,True
132,12.5,65.0,17.5,1.0,20.0,34.0,True
133,5.6,67.0,5.8,0.0,114.0,1.0,True
134,3.0,29.0,3.5,1.0,40.0,14.0,True
135,10.0,17.0,26.0,13.0,2.0,37.0,True
136,3.0,1.0,14.75,0.0,136.0,40.0,True
137,15.78,28.0,37.89,0.99,68.0,56.0,True
138,7.67,69.0,9.33,5.0,98.0,48.0,True
139,1.5,0.0,6.5,0.0,27.0,11.0,True
140,1.5,1.0,19.5,0.0,8.0,4.0,True
141,5.5,4.0,14.5,0.0,88.0,69.0,True
142,4.33,10.0,6.67,0.0,232.0,0.0,True
143,19.5,67.0,11.0,20.0,6.0,23.0,True
144,20.33,33.0,9.67,0.51,144.0,70.0,True
145,14.0,8.0,18.0,0.0,2.0,1.0,True
146,1.5,0.0,29.0,0.0,33.0,16.0,True
147,20.0,36.0,15.0,2.0,10.0,2.0,True
148,17.75,37.0,21.5,0.24,235.0,4.0,True
149,10.5,76.0,0.0,8.0,43.0,41.0,True
150,18.0,0.0,0.0,0.0,7.0,6.0,True
151,4.0,5.0,10.0,2.0,1.0,0.0,True
152,13.5,43.0,13.0,0.0,105.0,99.0,True
153,18.0,28.0,20.0,21.0,6.0,2.0,True
154,18.75,36.0,9.75,0.33,53.0,11.0,True
155,19.0,33.0,9.0,0.93,30.0,8.0,True
156,15.0,119.0,4.75,0.0,230.0,4.0,True
157,11.0,0.0,9.0,0.0,19.0,0.0,True
158,2.0,0.0,21.75,0.0,57.0,21.0,True
159,12.33,6.0,11.67,1.12,155.0,46.0,True
160,14.43,22.0,24.57,0.0,249.0,46.0,True
161,1.0,10.0,2.0,0.0,1.0,0.0,True
162,10.71,23.0,42.71,8.0,24.0,18.0,True
163,15.67,2.0,17.0,0.75,262.0,53.0,True
164,19.09,42.0,17.82,0.33,17.0,94.0,True
165,7.0,44.0,6.0,15.0,7.0,2.0,True
166,7.5,1.0,10.67,0.0,116.0,119.0,True
167,9.0,2.0,24.0,1.0,9.0,24.0,True
168,0.0,0.0,0.0,0.0,2.0,2.0,True
169,2.0,0.0,3.0,0.0,45.0,2.0,True
170,18.0,4.0,27.0,1.0,1.0,1.0,True
171,19.0,87.0,21.0,10.0,166.0,57.0,True
172,18.33,38.0,29.33,0.01,112.0,14.0,True
173,6.0,59.0,19.0,9.0,97.0,42.0,True
174,6.5,60.0,6.67,0.0,264.0,50.0,True
175,10.45,65.0,24.27,0.0,297.0,88.0,True
176,6.5,1.0,4.0,0.0,23.0,2.0,True
177,2.5,1.0,0.5,1.0,55.0,17.0,True
178,9.5,70.0,6.5,18.0,80.0,7.0,True
179,14.0,73.0,12.0,19.0,3.0,2.0,True
180,3.0,5.0,21.0,1.0,2.0,0.0,True
181,8.5,74.0,17.5,20.0,20.0,5.0,True
182,20.0,2.0,6.75,1.0,111.0,19.0,True
183,10.75,3.0,37.75,0.62,112.0,5.0,True
184,12.0,3.0,31.0,1.0,25.0,14.0,True
185,5.0,54.0,3.0,37.0,3.0,0.0,True
186,10.5,5.0,33.5,2.0,64.0,0.0,True
187,17.71,44.0,10.29,0.19,75.0,24.0,True
188,8.5,0.0,9.0,0.0,92.0,0.0,True
189,20.33,0.0,14.0,0.0,124.0,11.0,True
190,13.0,3.0,10.0,3.0,34.0,38.0,True
191,4.0,3.0,27.0,2.0,25.0,1.0,True
192,8.0,1.0,11.0,1.0,13.0,1.0,True
193,6.5,24.0,29.5,3.0,356.0,2.0,True
194,12.5,0.0,12.0,0.0,13.0,12.0,True
195,6.0,1.0,6.0,0.0,3.0,1.0,True
196,5.67,1.0,20.67,0.0,224.0,36.0,True
197,1.5,4.0,6.5,0.94,74.0,0.0,True
198,1.5,112.0,19.5,0.25,4.0,2.0,True
199,7.3,113.0,25.6,0.88,10.0,114.0,True
200,10.0,0.0,25.5,0.0,14.0,5.0,True
201,17.23,7.88,25.71,1.53,1.0,1.05,True
202,8.33,52.94,10.69,7.65,1.0,1.6,True
203,7.4,57.67,9.11,8.29,1.0,1.66,True
204,6.41,62.68,7.44,8.97,1.0,1.72,True
205,17.71,5.46,26.51,1.2,1.0,1.02,True
206,17.54,6.33,26.22,1.32,1.0,1.03,True
207,11.56,36.63,16.12,5.43,1.0,1.4,True
208,13.79,25.32,19.89,3.9,1.0,1.26,True
209,2.9,80.46,1.51,11.38,1.0,1.94,True
210,3.49,77.46,2.51,10.98,1.0,1.91,True
211,12.27,32.99,17.34,4.94,1.0,1.36,True
212,8.34,52.89,10.7,7.64,1.0,1.6,True
213,7.07,59.31,8.56,8.51,1.0,1.68,True
214,10.85,40.19,14.94,5.91,1.0,1.45,True
215,8.13,53.98,10.34,7.79,1.0,1.62,True
216,16.8,10.1,24.97,1.83,1.0,1.08,True
217,10.77,40.63,14.79,5.97,1.0,1.45,True
218,8.4,52.6,10.8,7.6,1.0,1.6,True
219,2.76,81.17,1.28,11.48,1.0,1.95,True
220,2.12,84.38,0.21,11.92,1.0,1.99,True
