,nuc,aexp,age,asexp,la,ld,target
0,1.0,17.0,0.0,0.0,92.0,17.0,True
1,0.5,19.0,0.5,0.11,11.0,4.0,True
2,0.0,20.0,0.0,8.0,0.0,80.0,True
3,0.83,24.0,1.0,0.11,360.0,14.0,True
4,0.0,29.0,0.0,16.0,66.0,0.0,True
5,3.2,31.0,0.2,17.0,83.0,28.0,True
6,2.5,33.0,0.0,19.0,88.0,6.0,True
7,3.29,37.0,0.0,0.01,51.0,29.0,True
8,2.86,46.0,8.71,28.0,251.0,121.0,True
9,1.0,51.0,0.0,33.0,99.0,5.0,True
10,0.0,61.0,0.0,0.0,19.0,9.0,True
11,1.4,69.0,0.8,0.0,43.0,36.0,True
12,1.86,72.0,0.0,0.0,311.0,10.0,True
13,1.57,77.0,0.14,0.0,145.0,60.0,True
14,3.25,78.0,0.12,0.0,120.0,41.0,True
15,0.0,79.0,0.0,8.0,7.0,1.0,True
16,2.0,85.0,0.0,12.0,1.0,2.0,True
17,4.67,95.0,0.2,0.0,128.0,59.0,True
18,4.0,101.0,1.2,20.0,263.0,4.0,True
19,5.0,107.0,3.0,27.0,26.0,2.0,True
20,5.0,108.0,1.88,28.0,188.0,87.0,True
21,8.5,115.0,1.5,33.0,8.0,2.0,True
22,9.5,116.0,0.0,34.0,2.0,2.0,True
23,6.4,141.0,0.4,51.0,98.0,18.0,True
24,10.0,142.0,2.5,52.0,64.0,3.0,True
25,12.5,143.0,2.5,53.0,23.0,2.0,True
26,8.25,145.0,2.5,54.0,84.0,57.0,True
27,14.14,148.0,1.29,0.0,99.0,18.0,True
28,6.79,150.0,2.68,0.0,478.0,68.0,True
29,8.83,162.0,0.5,0.0,58.0,27.0,True
30,9.8,163.0,1.8,0.0,58.0,114.0,True
31,1.5,22.0,0.0,4.0,5.0,3.0,True
32,7.62,25.0,7.0,0.5,111.0,77.0,True
33,7.06,173.0,0.62,0.0,473.0,138.0,True
34,5.0,193.0,3.0,73.0,1.0,1.0,True
35,24.0,42.0,15.0,27.0,16.0,0.0,True
36,8.0,202.0,32.0,75.0,1.0,1.0,True
37,2.0,232.0,0.0,3.0,81.0,5.0,True
38,5.86,244.0,17.29,0.0,168.0,5.0,True
39,6.0,250.0,2.0,8.0,1.0,1.0,True
40,3.0,272.0,61.0,84.0,5.0,1.0,True
41,0.0,84.0,0.0,38.0,94.0,62.0,True
42,0.0,85.0,0.0,39.0,1.0,1.0,True
43,0.0,88.0,0.0,40.0,7.0,5.0,True
44,21.0,89.0,1.0,16.0,52.0,60.0,True
45,8.0,90.0,15.0,17.0,49.0,40.0,True
46,1.0,93.0,6.0,43.0,7.0,20.0,True
47,1.67,96.0,4.0,46.0,58.0,37.0,True
48,8.33,99.0,0.0,20.0,47.0,43.0,True
49,3.38,101.0,4.62,0.56,284.0,229.0,True
50,8.0,315.0,7.0,24.0,0.0,2.0,True
51,9.5,102.0,0.0,50.0,20.0,29.0,True
52,5.33,323.0,0.0,0.0,139.0,40.0,True
53,11.0,344.0,13.0,0.0,6.0,6.0,True
54,9.0,353.0,0.0,0.0,62.0,22.0,True
55,6.0,355.0,1.5,0.0,31.0,5.0,True
56,13.5,370.0,0.0,0.0,11.0,0.0,True
57,1.0,22.0,34.0,3.0,127.0,78.0,True
58,8.5,458.0,0.0,19.0,11.0,2.0,True
