,nuc,aexp,age,asexp,la,ld,target
0,0.5,19.0,0.5,0.11,11.0,4.0,1
1,1.33,28.0,0.22,15.0,193.0,35.0,1
2,5.0,43.0,9.12,26.0,46.0,61.0,1
3,0.0,48.0,0.0,30.0,36.0,0.0,1
4,1.25,56.0,0.0,37.0,462.0,81.0,1
5,3.5,63.0,0.0,5.0,62.0,1.0,1
6,1.8,70.0,2.0,0.0,242.0,13.0,1
7,3.0,81.0,0.0,21.0,15.0,12.0,1
8,8.83,98.0,0.33,0.0,40.0,62.0,1
9,5.0,108.0,1.88,28.0,188.0,87.0,1
10,10.25,136.0,1.5,48.0,74.0,21.0,1
11,9.86,139.0,2.71,0.52,829.0,19.0,1
12,8.25,145.0,2.5,54.0,84.0,57.0,1
13,14.14,148.0,1.29,0.0,99.0,18.0,1
14,6.79,150.0,2.68,0.0,478.0,68.0,1
15,14.0,153.0,0.67,57.0,5.0,5.0,1
16,9.44,186.0,1.22,0.0,87.0,11.0,1
17,8.0,202.0,32.0,75.0,1.0,1.0,1
18,13.2,49.0,14.8,28.0,23.0,23.0,1
19,5.56,213.0,5.22,0.0,951.0,864.0,1
20,7.5,224.0,0.5,67.0,3.0,1.0,1
21,1.6,225.0,21.0,68.0,91.0,52.0,1
22,4.31,245.0,4.06,0.0,405.0,66.0,1
23,3.0,264.0,0.0,75.0,22.0,14.0,1
24,7.0,276.0,0.0,80.0,2.0,2.0,1
25,0.0,84.0,0.0,38.0,94.0,62.0,1
26,8.0,311.0,8.0,90.0,6.0,2.0,1
27,8.0,315.0,7.0,24.0,0.0,2.0,0
28,3.5,317.0,0.0,0.0,5.0,9.0,1
29,13.14,318.0,2.57,0.0,37.0,17.0,1
30,5.33,323.0,0.0,0.0,139.0,40.0,1
31,2.0,335.0,1.0,103.0,14.0,1.0,1
32,6.0,341.0,0.0,0.0,29.0,45.0,1
33,8.0,347.0,1.0,111.0,19.0,0.0,1
34,11.58,351.0,0.75,0.0,132.0,67.0,1
35,22.0,363.0,0.0,121.0,18.0,6.0,1
36,29.0,366.0,0.0,109.0,6.0,4.0,1
37,0.0,389.0,0.0,2.0,169.0,0.0,1
38,10.0,397.0,12.0,21.0,8.0,19.0,1
39,2.0,400.0,3.75,130.0,39.0,16.0,1
40,0.0,415.0,0.0,140.0,87.0,8.0,1
41,0.0,416.0,0.0,141.0,2.0,1.0,1
42,7.0,417.0,1.0,142.0,6.0,0.0,1
43,6.33,421.0,2.33,146.0,36.0,8.0,1
44,9.0,426.0,31.0,113.0,19.0,0.0,1
45,7.0,431.0,31.0,114.0,13.0,2.0,1
46,4.0,433.0,0.0,152.0,13.0,8.0,1
47,14.33,438.0,10.33,0.0,5.0,12.0,1
48,3.0,439.0,0.0,156.0,3.0,3.0,1
49,1.0,22.0,34.0,3.0,127.0,78.0,1
50,10.0,447.0,4.0,120.0,18.0,3.0,1
51,3.0,450.0,14.0,162.0,0.0,2.0,0
52,1.0,455.0,69.0,17.0,0.0,42.0,0
53,36.0,33.0,2.0,10.0,6.0,2.0,1
54,17.0,44.0,0.0,14.0,22.0,1.0,1
55,17.0,497.0,0.0,0.0,5.0,4.0,1
56,0.5,58.0,1.5,26.0,59.0,89.0,1
57,13.0,516.0,102.0,133.0,2.0,1.0,1
58,3.5,542.0,0.5,0.0,69.0,3.0,1
59,9.0,68.0,0.0,30.0,4.0,3.0,1
60,10.5,565.0,42.25,0.0,15.0,33.0,1
61,7.1,566.0,33.77,0.11,353.0,602.0,1
62,20.0,574.0,1.0,163.0,2.0,2.0,1
63,2.0,70.0,298.0,31.0,4.0,0.0,1
64,1.0,577.0,223.0,195.0,0.0,30.0,0
65,7.9,617.0,4.76,0.0,255.0,219.0,1
66,4.0,721.0,21.0,219.0,5.0,0.0,1
67,29.33,749.0,4.0,0.0,21.0,19.0,1
68,23.0,777.0,0.0,60.0,9.0,1.0,1
69,22.5,154.0,48.0,6.0,2.0,1.0,1
70,19.8,813.0,30.6,0.0,211.0,52.0,1
71,9.0,162.0,62.0,0.0,67.0,62.0,1
72,10.88,850.0,6.25,0.0,83.0,56.0,1
73,6.2,853.0,11.0,0.0,167.0,2.0,1
74,26.5,855.0,2.0,186.0,57.0,0.0,1
75,20.5,857.0,1.33,0.0,6.0,59.0,1
76,13.88,878.0,4.12,0.0,172.0,89.0,1
77,20.0,885.0,0.0,245.0,9.0,7.0,1
78,32.0,888.0,0.0,71.0,13.0,2.0,1
79,8.0,911.0,19.5,0.0,42.0,19.0,1
80,25.5,924.0,7.5,0.0,10.0,5.0,1
81,14.0,929.0,0.0,83.0,55.0,3.0,1
82,29.0,16.0,5.5,0.0,23.0,1.0,1
83,21.0,18.0,1.0,1.0,6.0,3.0,1
84,20.5,939.0,0.0,90.0,10.0,0.0,1
85,7.5,943.0,1.0,93.0,5.0,3.0,1
86,25.0,0.0,1.0,0.0,8.0,1.0,1
87,35.0,1.0,31.0,0.0,3.0,2.0,1
88,15.0,963.0,0.0,0.0,1.0,5.0,1
89,24.75,977.0,10.25,0.0,180.0,1.0,1
90,17.67,979.0,0.0,104.0,252.0,11.0,1
91,14.33,990.0,3.67,0.0,31.0,3.0,1
92,0.0,991.0,0.0,1.0,22.0,20.0,1
93,56.0,1018.0,0.0,116.0,6.0,1.0,1
94,7.0,1025.0,2.0,121.0,4.0,0.0,1
95,59.0,115.0,10.0,1.0,8.0,8.0,1
96,28.0,1.0,10.0,0.0,42.0,18.0,1
97,11.3,1040.0,9.6,0.0,479.0,139.0,1
98,34.33,1045.0,23.83,0.46,77.0,5.0,1
99,17.7,0.0,1.0,0.0,1244.0,2.0,1
100,2.22,1063.0,27.0,0.0,90.0,35.0,1
101,17.67,25.0,14.83,0.02,117.0,27.0,1
102,22.0,0.0,34.61,0.0,1442.0,267.0,1
103,8.45,1073.0,11.45,0.0,204.0,4.0,1
104,11.25,1080.0,5.25,0.44,197.0,38.0,1
105,29.2,1081.0,6.4,0.31,97.0,78.0,1
106,8.0,39.0,14.5,2.0,540.0,128.0,1
107,7.67,41.0,59.33,1.0,21.0,28.0,1
108,19.0,1103.0,4.0,233.0,3.0,3.0,1
109,9.0,29.0,3.0,2.0,29.0,36.0,1
110,4.0,1119.0,36.75,0.0,70.0,7.0,1
111,5.0,32.0,6.0,1.0,60.0,24.0,1
112,8.0,18.0,0.0,3.0,6.0,5.0,1
113,2.75,49.0,76.29,0.0,0.0,80.0,0
114,2.5,1.0,50.0,1.0,0.0,8.0,0
115,6.0,5.0,8.0,5.0,1.0,1.0,1
116,2.0,2.0,19.0,2.0,14.0,0.0,1
117,11.0,3.0,4.0,0.0,12.0,20.0,1
118,2.0,56.0,15.0,5.0,22.0,18.0,1
119,22.17,9.0,11.96,0.4,1186.0,117.0,1
120,7.0,1148.0,29.39,0.0,1787.0,48.0,1
121,8.5,3.0,7.0,1.0,5.0,0.0,1
122,22.5,33.0,11.0,9.0,33.0,1.0,1
123,11.5,0.0,30.0,0.0,79.0,12.0,1
124,18.0,38.0,3.5,0.02,6.0,2.0,1
125,31.0,10.0,13.0,3.0,3.0,3.0,1
126,3.0,37.0,95.0,0.0,1.0,7.0,1
127,9.0,47.0,3.0,1.0,18.0,18.0,1
128,14.0,13.0,21.6,1.0,552.0,28.0,1
129,1.86,42.0,30.43,0.0,380.0,24.0,1
130,18.0,46.0,78.0,3.0,1.0,2.0,1
131,5.2,13.0,79.9,9.0,145.0,92.0,1
132,8.0,52.0,5.0,1.0,5.0,5.0,1
133,76.0,17.0,7.33,0.04,15.0,0.0,1
134,33.0,85.0,4.0,10.0,4.0,4.0,1
135,27.75,53.0,88.75,0.0,0.0,398.0,0
136,12.0,1165.0,58.0,242.0,2.0,1.0,1
137,22.75,55.0,15.38,0.01,144.0,101.0,1
138,18.0,57.0,9.07,0.0,376.0,485.0,1
139,8.5,60.0,38.75,0.0,18.0,106.0,1
140,28.0,31.0,1.0,7.0,28.0,1.0,1
141,1.0,2.0,11.0,1.0,17.0,1.0,1
142,52.0,32.0,5.5,0.05,6.0,1.0,1
143,48.0,10.0,0.0,4.0,1.0,4.0,1
144,20.0,36.0,15.0,2.0,10.0,2.0,1
145,3.0,11.0,46.0,0.0,80.0,77.0,1
146,19.93,0.0,42.27,0.0,148.0,110.0,1
147,24.5,19.0,30.0,1.0,6.0,2.0,1
148,41.0,40.0,4.0,2.0,2.0,2.0,1
149,8.69,0.0,24.81,0.0,579.0,43.0,1
150,1.5,4.0,54.0,0.0,195.0,105.0,1
151,6.2,32.0,46.4,0.0,93.0,28.0,1
152,11.0,29.0,57.5,0.83,134.0,11.0,1
153,25.33,47.0,24.67,0.02,246.0,18.0,1
154,9.2,0.0,119.14,0.0,213.0,219.0,1
155,43.0,18.0,0.0,4.0,0.0,3.0,1
156,17.24,1.0,5.52,0.0,2352.0,99.0,1
157,12.0,1.0,0.0,1.0,8.0,1.0,1
158,50.0,37.0,6.0,7.0,1.0,1.0,1
159,24.0,54.0,4.0,4.0,0.0,8.0,0
160,9.0,2.0,24.0,1.0,9.0,24.0,1
161,0.0,0.0,0.0,0.0,2.0,2.0,1
162,24.0,40.0,17.0,29.0,8.0,0.0,1
163,18.0,4.0,27.0,1.0,1.0,1.0,1
164,7.0,52.0,5.0,0.0,58.0,23.0,1
165,5.0,3.0,71.5,0.0,47.0,28.0,1
166,44.25,1.0,10.75,0.33,68.0,1.0,1
167,24.13,2.0,15.61,0.0,531.0,48.0,1
168,47.0,76.0,2.0,0.0,11.0,10.0,1
169,43.0,30.0,5.14,0.46,96.0,24.0,1
170,29.5,55.0,2.5,0.25,136.0,16.0,1
171,2.25,6.0,150.5,0.0,48.0,24.0,1
172,58.0,51.0,0.0,35.0,70.0,0.0,1
173,10.0,1.0,5.0,0.0,10.0,10.0,1
174,9.19,1213.0,99.29,57.0,3007.0,369.0,1
175,6.5,1.0,4.0,0.0,23.0,2.0,1
176,29.0,39.0,11.0,1.0,1.0,1.0,1
177,33.5,67.0,113.0,0.51,18.0,12.0,1
178,11.0,0.0,69.0,0.0,692.0,117.0,1
179,30.5,1219.0,31.5,0.0,34.0,33.0,1
180,55.5,4.0,9.5,0.02,407.0,4.0,1
181,16.77,45.0,16.38,0.24,1093.0,200.0,1
182,12.33,1235.0,41.5,0.0,56.0,14.0,1
183,52.0,1236.0,25.0,0.0,15.0,12.0,1
184,43.0,89.0,9.25,0.0,129.0,14.0,1
185,25.75,4.0,167.0,0.25,111.0,30.0,1
186,4.5,53.0,124.57,0.83,378.0,128.0,1
187,6.0,56.0,0.0,11.0,2.0,1.0,1
188,11.85,4.0,51.62,0.2,111.0,22.0,1
189,17.86,61.0,65.67,0.9,83.0,83.0,1
190,67.5,19.0,4.5,1.06,48.0,4.0,1
191,10.5,5.0,33.5,2.0,64.0,0.0,1
192,34.0,45.0,8.5,9.0,11.0,3.0,1
193,58.0,107.0,27.0,0.02,8.0,4.0,1
194,28.16,81.0,16.2,0.9,774.0,369.0,1
195,23.8,2.0,107.6,0.25,107.0,1.0,1
196,38.86,1.0,39.86,0.67,81.0,44.0,1
197,8.21,0.0,22.71,0.0,930.0,22.0,1
198,8.78,97.0,0.0,0.0,1655.0,0.0,1
199,13.6,111.0,53.4,0.0,193.0,7.0,1
200,1.0,0.0,403.0,0.0,0.0,2.0,0
201,0.93,48.0,38.29,0.0,452.0,71.0,1
202,16.0,0.0,34.0,0.0,2.0,0.0,1
203,50.0,0.0,37.0,0.0,20.0,14.0,1
204,32.25,2.0,66.0,0.04,194.0,8.0,1
205,3.0,3.0,84.0,2.0,1.0,2.0,1
206,10.97,119.0,165.52,0.04,456.0,1161.0,1
207,15.14,5.0,312.57,0.0,46.0,44.0,1
208,14.6,132.0,38.4,0.88,91.0,297.0,1
209,22.78,801.31,6.71,8.51,21.66,13.19,1
210,23.36,827.28,6.88,6.7,19.19,11.46,1
211,25.17,908.97,7.4,1.04,11.43,6.0,1
212,16.44,515.07,4.88,28.35,48.85,32.3,1
213,23.99,855.89,7.06,4.72,16.47,9.55,1
214,21.25,731.98,6.27,13.31,28.24,17.82,1
215,22.68,796.61,6.68,8.83,22.1,13.5,1
216,10.11,228.96,3.04,48.18,76.02,51.4,1
217,19.68,661.19,5.81,18.22,34.97,22.54,1
218,12.46,335.01,3.72,40.83,65.95,44.32,1
219,16.12,500.55,4.78,29.35,50.22,33.27,1
220,22.89,806.25,6.74,8.16,21.19,12.86,1
221,9.0,178.66,2.72,51.67,80.8,54.75,1
222,13.99,404.14,4.16,36.04,59.38,39.7,1
223,18.65,614.58,5.51,21.45,39.39,25.65,1
224,9.1,183.31,2.75,51.34,80.36,54.44,1
225,17.54,564.4,5.19,24.93,44.16,29.0,1
226,24.56,881.75,7.23,2.93,14.01,7.82,1
