,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.94,9.0,3.37,0.17,3.0,27.0,0.5,959.0,434.0,1
1,3.42,16.0,1.96,0.42,3.0,4.42,0.39,378.0,76.0,1
2,5.77,37.0,1.75,0.31,3.0,0.23,0.0,168.0,151.0,1
3,6.2,43.0,1.71,0.4,3.0,6.5,0.0,727.0,438.0,1
4,5.29,61.0,2.58,0.29,4.0,6.57,0.0,1455.0,12.0,1
5,12.67,63.0,1.32,1.33,3.0,28.67,0.0,31.0,1.0,1
6,12.27,33.0,2.22,0.45,3.0,30.18,0.39,389.0,155.0,1
7,18.57,47.0,1.63,0.57,3.0,24.29,0.39,155.0,98.0,1
8,11.62,50.0,2.1,0.5,3.0,39.75,0.39,308.0,16.0,1
9,8.71,80.0,3.09,0.29,3.0,2.71,0.0,1635.0,7.0,1
10,12.64,91.0,3.38,0.29,3.0,30.79,0.0,217.0,67.0,1
11,35.67,96.0,2.18,0.83,4.0,48.17,0.33,21.0,19.0,1
12,23.11,104.0,1.03,0.56,3.0,16.78,0.39,542.0,157.0,1
13,15.77,100.5,3.94,0.19,3.0,106.65,0.0,1016.0,513.0,1
14,25.4,2.0,2.65,0.47,4.0,303.53,0.62,487.0,193.0,1
15,29.0,4.0,2.27,0.38,3.0,379.69,0.99,487.0,430.0,1
16,20.67,69.67,3.74,0.17,3.0,75.33,0.0,485.0,249.0,1
17,24.83,12.5,3.17,0.33,3.0,109.0,0.02,912.0,271.0,1
18,106.25,96.83,1.72,1.5,3.0,163.0,0.0,14.0,8.0,1
19,109.4,94.0,2.01,1.4,3.0,150.0,0.0,12.0,7.0,1
20,149.5,3.0,0.5,2.5,3.0,80.75,0.96,5.0,214.0,1
21,65.44,127.0,2.81,1.11,4.0,274.67,0.27,105.0,6.0,1
22,90.14,89.5,1.94,1.29,3.0,56.86,0.0,373.0,4.0,1
23,117.5,120.0,1.44,1.5,3.0,86.33,0.0,90.0,40.0,1
24,185.75,32.0,0.7,2.5,3.0,42.5,1.0,142.0,3.0,1
25,72.45,114.52,1.99,0.91,3.0,133.09,0.0,147.0,11.0,1
26,73.92,0.0,2.67,0.75,3.0,302.5,0.0,1588.0,170.0,1
27,174.5,120.65,2.04,2.17,4.0,419.17,0.0,62.0,6.0,1
28,209.8,5.0,1.68,2.4,3.0,90.8,0.99,190.0,94.0,1
29,61.07,26.0,4.1,0.46,3.0,150.29,1.0,834.0,124.0,1
30,80.8,6.0,2.41,1.0,3.0,426.07,0.66,341.0,57.0,1
31,23.8,26.0,5.07,0.25,4.0,624.24,0.68,276.0,168.0,1
32,88.0,42.0,3.1,1.07,4.0,397.33,0.68,233.0,117.0,1
33,85.43,100.63,2.87,0.71,4.0,47.05,0.0,56.0,20.0,1
34,69.12,17.0,3.44,0.69,3.0,276.12,1.0,779.0,104.0,1
35,27.17,4.0,2.9,2.67,3.0,45.92,0.6,784.0,74.0,1
36,27.68,1.0,2.62,2.42,3.0,531.53,0.67,280.0,1.0,1
37,13.3,16.0,4.01,1.12,5.0,5.3,0.25,2583.0,78.0,1
38,0.83,5.0,2.27,0.67,4.0,1.5,0.0,89.0,30.0,1
39,5.63,17.0,3.84,0.91,5.0,0.6,0.01,2918.0,220.0,1
40,111.0,59.11,1.43,1.71,3.0,65.25,0.34,243.71,77.78,1
41,111.23,58.77,1.43,1.72,3.0,65.34,0.34,242.28,78.6,1
42,140.07,16.74,0.73,2.31,3.0,76.96,0.81,63.44,180.65,1
43,131.14,29.76,0.95,2.12,3.0,73.36,0.67,118.85,149.03,1
44,109.83,60.82,1.46,1.69,3.0,64.78,0.32,250.97,73.64,1
45,123.35,41.11,1.13,1.96,3.0,70.22,0.54,167.15,121.47,1
46,131.88,28.68,0.93,2.14,3.0,73.66,0.68,114.24,151.66,1
47,131.22,29.64,0.94,2.13,3.0,73.39,0.67,118.33,149.33,1
48,104.93,67.95,1.58,1.59,3.0,62.81,0.24,281.32,56.32,1
49,135.36,23.6,0.84,2.21,3.0,75.06,0.73,92.65,163.99,1
50,91.18,87.99,1.91,1.31,3.0,57.27,0.02,366.58,7.66,1
51,149.02,3.7,0.51,2.49,3.0,80.56,0.96,7.98,212.3,1
52,110.59,59.71,1.44,1.7,3.0,65.09,0.33,246.25,76.33,1
53,98.25,77.68,1.74,1.45,3.0,60.12,0.13,322.72,32.69,1
54,122.37,42.54,1.16,1.94,3.0,69.83,0.52,173.2,118.02,1
55,105.79,66.7,1.56,1.61,3.0,63.15,0.25,276.01,59.35,1
56,128.65,33.38,1.01,2.07,3.0,72.36,0.62,134.26,140.24,1
57,93.6,84.46,1.85,1.36,3.0,58.25,0.06,351.54,16.25,1
58,136.32,22.21,0.82,2.23,3.0,75.44,0.75,86.71,167.37,1
59,136.42,22.05,0.82,2.23,3.0,75.49,0.75,86.06,167.74,1
60,134.33,25.11,0.87,2.19,3.0,74.64,0.72,99.08,160.31,1
61,139.96,16.9,0.73,2.3,3.0,76.91,0.81,64.14,180.25,1
62,110.0,60.56,1.46,1.69,3.0,64.85,0.32,249.87,74.27,1
63,131.69,28.95,0.93,2.14,3.0,73.58,0.67,115.41,151.0,1
64,126.67,36.28,1.05,2.03,3.0,71.56,0.59,146.57,133.21,1
65,143.42,11.86,0.65,2.38,3.0,78.3,0.86,42.67,192.5,1
66,98.61,77.16,1.73,1.46,3.0,60.27,0.14,320.51,33.95,1
67,144.97,9.6,0.61,2.41,3.0,78.93,0.89,33.09,197.97,1
68,91.07,88.15,1.91,1.3,3.0,57.23,0.02,367.27,7.27,1
69,98.37,77.51,1.74,1.45,3.0,60.17,0.13,321.97,33.12,1
70,127.52,35.03,1.03,2.05,3.0,71.9,0.61,141.27,136.24,1
71,115.66,52.31,1.32,1.81,3.0,67.13,0.41,214.79,94.28,1
72,136.26,22.29,0.82,2.23,3.0,75.42,0.75,87.06,167.17,1
73,112.74,56.58,1.39,1.75,3.0,65.95,0.37,232.93,83.93,1
74,149.24,3.39,0.51,2.49,3.0,80.64,0.96,6.64,213.06,1
75,112.34,57.16,1.4,1.74,3.0,65.79,0.36,235.41,82.52,1
76,124.58,39.31,1.1,1.99,3.0,70.72,0.56,159.49,125.84,1
77,109.86,60.77,1.46,1.69,3.0,64.79,0.32,250.78,73.75,1
78,134.61,24.7,0.86,2.2,3.0,74.76,0.72,97.32,161.32,1
79,125.21,38.39,1.09,2.0,3.0,70.97,0.57,155.57,128.08,1
80,115.54,52.48,1.32,1.81,3.0,67.08,0.41,215.52,93.87,1
81,121.19,44.26,1.19,1.92,3.0,69.35,0.5,180.54,113.83,1
82,90.21,89.41,1.94,1.29,3.0,56.88,0.0,372.61,4.22,1
83,114.21,54.43,1.35,1.78,3.0,66.55,0.39,223.78,89.15,1
84,117.76,49.25,1.27,1.85,3.0,67.97,0.45,201.78,101.71,1
